hidden_layer_dim = 15
learning_rate = 0.0002
minibatch_size = 100
num_train_samples_per_sweep = 259308
num_test_samples = 2646
Minibatch: 0, Loss: 40268.6675, Error: 4026866.75% 
Minibatch: 500, Loss: 340.1229, Error: 34012.29% 
Minibatch: 1000, Loss: 579.5922, Error: 57959.22% 
Minibatch: 1500, Loss: 555.7544, Error: 55575.44% 
Minibatch: 2000, Loss: 302.9002, Error: 30290.02% 
Minibatch: 2500, Loss: 369.2839, Error: 36928.39% 
Minibatch: 3000, Loss: 344.2430, Error: 34424.30% 
Minibatch: 3500, Loss: 318.1384, Error: 31813.84% 
Minibatch: 4000, Loss: 353.7713, Error: 35377.13% 
Minibatch: 4500, Loss: 616.6702, Error: 61667.02% 
Minibatch: 5000, Loss: 436.0477, Error: 43604.77% 
Minibatch: 5500, Loss: 317.5776, Error: 31757.76% 
Minibatch: 6000, Loss: 328.9421, Error: 32894.21% 
Minibatch: 6500, Loss: 299.7604, Error: 29976.04% 
Minibatch: 7000, Loss: 440.2796, Error: 44027.96% 
Minibatch: 7500, Loss: 296.5749, Error: 29657.49% 
Minibatch: 8000, Loss: 333.9699, Error: 33396.99% 
Minibatch: 8500, Loss: 322.1026, Error: 32210.26% 
Minibatch: 9000, Loss: 346.6979, Error: 34669.79% 
Minibatch: 9500, Loss: 355.3859, Error: 35538.59% 
Minibatch: 10000, Loss: 358.6401, Error: 35864.01% 
Minibatch: 10500, Loss: 306.4526, Error: 30645.26% 
Minibatch: 11000, Loss: 339.2773, Error: 33927.73% 
Minibatch: 11500, Loss: 335.3752, Error: 33537.52% 
Minibatch: 12000, Loss: 337.5246, Error: 33752.46% 
Minibatch: 12500, Loss: 337.4373, Error: 33743.73% 
Minibatch: 13000, Loss: 543.4857, Error: 54348.57% 
Minibatch: 13500, Loss: 354.3261, Error: 35432.61% 
Minibatch: 14000, Loss: 289.7894, Error: 28978.94% 
Minibatch: 14500, Loss: 343.8533, Error: 34385.33% 
Minibatch: 15000, Loss: 225.4437, Error: 22544.38% 
Minibatch: 15500, Loss: 378.2236, Error: 37822.36% 
Minibatch: 16000, Loss: 296.9935, Error: 29699.35% 
Minibatch: 16500, Loss: 373.3900, Error: 37339.00% 
Minibatch: 17000, Loss: 334.8780, Error: 33487.80% 
Minibatch: 17500, Loss: 330.2295, Error: 33022.95% 
Minibatch: 18000, Loss: 399.0387, Error: 39903.88% 
Minibatch: 18500, Loss: 312.9334, Error: 31293.34% 
Minibatch: 19000, Loss: 313.7713, Error: 31377.13% 
Minibatch: 19500, Loss: 422.0477, Error: 42204.77% 
Minibatch: 20000, Loss: 506.9232, Error: 50692.32% 
Minibatch: 20500, Loss: 520.8026, Error: 52080.26% 
Minibatch: 21000, Loss: 245.2599, Error: 24525.99% 
Minibatch: 21500, Loss: 412.2398, Error: 41223.98% 
Minibatch: 22000, Loss: 252.6312, Error: 25263.12% 
Minibatch: 22500, Loss: 385.5095, Error: 38550.95% 
Minibatch: 23000, Loss: 377.4475, Error: 37744.75% 
Minibatch: 23500, Loss: 367.1686, Error: 36716.86% 
Minibatch: 24000, Loss: 276.6153, Error: 27661.53% 
Minibatch: 24500, Loss: 420.3677, Error: 42036.77% 
Minibatch: 25000, Loss: 255.1596, Error: 25515.96% 
Minibatch: 25500, Loss: 401.6739, Error: 40167.39% 
Label-Feature Diff = [13.0, 22.0, 6.0]
Label-Predict Diff = [11.0, 8.0, 15.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [10.0, 8.0, 14.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [10.0, 8.0, 14.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 18.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 18.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 18.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label-Predict Diff = [13.0, 11.0, 18.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [12.0, 10.0, 16.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label-Predict Diff = [10.0, 8.0, 14.0]

Label-Feature Diff = [10.0, 19.0, 3.0]
Label-Predict Diff = [9.0, 6.0, 12.0]

Label-Feature Diff = [14.0, 23.0, 7.0]
Label-Predict Diff = [12.0, 9.0, 16.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label-Predict Diff = [12.0, 10.0, 16.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label-Predict Diff = [14.0, 12.0, 19.0]

Label-Feature Diff = [19.0, 28.0, 12.0]
Label-Predict Diff = [16.0, 13.0, 21.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label-Predict Diff = [14.0, 12.0, 19.0]

