hidden_layer_dim = 12
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*628288
minibatch_size = 500
num_train_samples_per_sweep = 11628288
num_test_samples = 2907072
Minibatch: 0, Loss: 68297.0160, Error: 6829701.60% 
Minibatch: 500, Loss: 402.4888, Error: 40248.88% 
Minibatch: 1000, Loss: 489.8321, Error: 48983.21% 
Minibatch: 1500, Loss: 396.6415, Error: 39664.15% 
Minibatch: 2000, Loss: 430.4419, Error: 43044.19% 
Minibatch: 2500, Loss: 366.4716, Error: 36647.16% 
Minibatch: 3000, Loss: 430.3271, Error: 43032.71% 
Minibatch: 3500, Loss: 458.8717, Error: 45887.17% 
Minibatch: 4000, Loss: 471.3077, Error: 47130.77% 
Minibatch: 4500, Loss: 374.2100, Error: 37421.00% 
Minibatch: 5000, Loss: 386.3645, Error: 38636.45% 
Minibatch: 5500, Loss: 380.8067, Error: 38080.67% 
Minibatch: 6000, Loss: 361.8954, Error: 36189.54% 
Minibatch: 6500, Loss: 400.8441, Error: 40084.41% 
Minibatch: 7000, Loss: 345.1746, Error: 34517.46% 
Minibatch: 7500, Loss: 366.2436, Error: 36624.36% 
Minibatch: 8000, Loss: 415.1840, Error: 41518.40% 
Minibatch: 8500, Loss: 358.0266, Error: 35802.66% 
Minibatch: 9000, Loss: 397.2174, Error: 39721.74% 
Minibatch: 9500, Loss: 366.8016, Error: 36680.16% 
Minibatch: 10000, Loss: 379.4285, Error: 37942.85% 
Minibatch: 10500, Loss: 369.8586, Error: 36985.86% 
Minibatch: 11000, Loss: 398.4619, Error: 39846.19% 
Minibatch: 11500, Loss: 347.5123, Error: 34751.23% 
Minibatch: 12000, Loss: 430.8849, Error: 43088.49% 
Minibatch: 12500, Loss: 362.0476, Error: 36204.76% 
Minibatch: 13000, Loss: 438.9872, Error: 43898.72% 
Minibatch: 13500, Loss: 355.2351, Error: 35523.51% 
Minibatch: 14000, Loss: 378.1498, Error: 37814.98% 
Minibatch: 14500, Loss: 362.2498, Error: 36224.97% 
Minibatch: 15000, Loss: 388.0685, Error: 38806.85% 
Minibatch: 15500, Loss: 359.6273, Error: 35962.73% 
Minibatch: 16000, Loss: 332.8885, Error: 33288.85% 
Minibatch: 16500, Loss: 350.3013, Error: 35030.13% 
Minibatch: 17000, Loss: 364.0674, Error: 36406.74% 
Minibatch: 17500, Loss: 393.4537, Error: 39345.37% 
Minibatch: 18000, Loss: 355.0273, Error: 35502.73% 
Minibatch: 18500, Loss: 462.4606, Error: 46246.06% 
Minibatch: 19000, Loss: 409.4843, Error: 40948.43% 
Minibatch: 19500, Loss: 372.0064, Error: 37200.64% 
Minibatch: 20000, Loss: 346.5979, Error: 34659.79% 
Minibatch: 20500, Loss: 400.6982, Error: 40069.82% 
Minibatch: 21000, Loss: 406.0322, Error: 40603.22% 
Minibatch: 21500, Loss: 396.5571, Error: 39655.71% 
Minibatch: 22000, Loss: 365.1833, Error: 36518.33% 
Minibatch: 22500, Loss: 383.5503, Error: 38355.03% 
Minibatch: 23000, Loss: 396.6361, Error: 39663.61% 
Minibatch: 23500, Loss: 375.2073, Error: 37520.73% 
Minibatch: 24000, Loss: 367.3163, Error: 36731.62% 
Minibatch: 24500, Loss: 340.8909, Error: 34089.09% 
Minibatch: 25000, Loss: 354.6976, Error: 35469.76% 
Minibatch: 25500, Loss: 346.3646, Error: 34636.46% 
Minibatch: 26000, Loss: 323.5837, Error: 32358.37% 
Minibatch: 26500, Loss: 454.2961, Error: 45429.61% 
Minibatch: 27000, Loss: 335.9842, Error: 33598.42% 
