hidden_layer_dim = 18
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*628288
minibatch_size = 500
num_train_samples_per_sweep = 11628288
num_test_samples = 2907072
Minibatch: 0, Loss: 64649.2400, Error: 6464924.00% 
Minibatch: 500, Loss: 359.2370, Error: 35923.70% 
Minibatch: 1000, Loss: 375.8775, Error: 37587.75% 
Minibatch: 1500, Loss: 365.0525, Error: 36505.25% 
Minibatch: 2000, Loss: 367.6107, Error: 36761.07% 
Minibatch: 2500, Loss: 387.5661, Error: 38756.61% 
Minibatch: 3000, Loss: 434.2216, Error: 43422.16% 
Minibatch: 3500, Loss: 368.6579, Error: 36865.79% 
Minibatch: 4000, Loss: 366.6318, Error: 36663.18% 
Minibatch: 4500, Loss: 338.7393, Error: 33873.93% 
Minibatch: 5000, Loss: 371.8067, Error: 37180.67% 
Minibatch: 5500, Loss: 366.4947, Error: 36649.47% 
Minibatch: 6000, Loss: 378.2667, Error: 37826.67% 
Minibatch: 6500, Loss: 357.9180, Error: 35791.80% 
Minibatch: 7000, Loss: 345.4561, Error: 34545.61% 
Minibatch: 7500, Loss: 353.8144, Error: 35381.44% 
Minibatch: 8000, Loss: 356.1490, Error: 35614.90% 
Minibatch: 8500, Loss: 369.0262, Error: 36902.62% 
Minibatch: 9000, Loss: 342.0765, Error: 34207.65% 
Minibatch: 9500, Loss: 348.1764, Error: 34817.64% 
Minibatch: 10000, Loss: 406.3308, Error: 40633.08% 
Minibatch: 10500, Loss: 343.3233, Error: 34332.33% 
Minibatch: 11000, Loss: 387.1925, Error: 38719.25% 
Minibatch: 11500, Loss: 339.1125, Error: 33911.25% 
Minibatch: 12000, Loss: 351.3348, Error: 35133.48% 
Minibatch: 12500, Loss: 347.6419, Error: 34764.19% 
Minibatch: 13000, Loss: 331.9666, Error: 33196.66% 
Minibatch: 13500, Loss: 361.4112, Error: 36141.12% 
Minibatch: 14000, Loss: 325.0347, Error: 32503.47% 
Minibatch: 14500, Loss: 416.2261, Error: 41622.61% 
Minibatch: 15000, Loss: 347.4442, Error: 34744.42% 
Minibatch: 15500, Loss: 324.4014, Error: 32440.14% 
Minibatch: 16000, Loss: 372.1191, Error: 37211.91% 
Minibatch: 16500, Loss: 354.7482, Error: 35474.82% 
Minibatch: 17000, Loss: 348.5024, Error: 34850.24% 
Minibatch: 17500, Loss: 399.9790, Error: 39997.90% 
Minibatch: 18000, Loss: 311.7069, Error: 31170.69% 
Minibatch: 18500, Loss: 324.7826, Error: 32478.26% 
Minibatch: 19000, Loss: 430.2453, Error: 43024.53% 
Minibatch: 19500, Loss: 386.0613, Error: 38606.13% 
Minibatch: 20000, Loss: 315.1853, Error: 31518.53% 
Minibatch: 20500, Loss: 327.5822, Error: 32758.22% 
Minibatch: 21000, Loss: 411.7271, Error: 41172.71% 
Minibatch: 21500, Loss: 362.6208, Error: 36262.08% 
Minibatch: 22000, Loss: 389.3655, Error: 38936.55% 
Minibatch: 22500, Loss: 378.3544, Error: 37835.44% 
Minibatch: 23000, Loss: 374.9306, Error: 37493.06% 
Minibatch: 23500, Loss: 354.3314, Error: 35433.14% 
Minibatch: 24000, Loss: 314.4300, Error: 31443.00% 
Minibatch: 24500, Loss: 310.6747, Error: 31067.47% 
Minibatch: 25000, Loss: 361.3027, Error: 36130.27% 
Minibatch: 25500, Loss: 306.8782, Error: 30687.82% 
Minibatch: 26000, Loss: 344.8740, Error: 34487.40% 
Minibatch: 26500, Loss: 363.0224, Error: 36302.24% 
Minibatch: 27000, Loss: 299.1488, Error: 29914.88% 
Minibatch: 27500, Loss: 343.2253, Error: 34322.53% 
Minibatch: 28000, Loss: 419.2502, Error: 41925.02% 
Minibatch: 28500, Loss: 315.8456, Error: 31584.56% 
Minibatch: 29000, Loss: 335.0251, Error: 33502.51% 
Minibatch: 29500, Loss: 357.7007, Error: 35770.07% 
Minibatch: 30000, Loss: 341.9579, Error: 34195.79% 
Minibatch: 30500, Loss: 381.8669, Error: 38186.69% 
Minibatch: 31000, Loss: 309.2832, Error: 30928.32% 
Minibatch: 31500, Loss: 278.9506, Error: 27895.06% 
Minibatch: 32000, Loss: 310.0858, Error: 31008.58% 
Minibatch: 32500, Loss: 381.7261, Error: 38172.61% 
Minibatch: 33000, Loss: 333.9443, Error: 33394.43% 
Minibatch: 33500, Loss: 349.8203, Error: 34982.03% 
Minibatch: 34000, Loss: 322.7071, Error: 32270.71% 
