hidden_layer_dim = 27
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*628288
minibatch_size = 300
num_train_samples_per_sweep = 11628288
num_test_samples = 2907072
Minibatch: 0, Loss: 68729.2267, Error: 6872922.67% 
Minibatch: 500, Loss: 418.0055, Error: 41800.55% 
Minibatch: 1000, Loss: 468.7552, Error: 46875.52% 
Minibatch: 1500, Loss: 397.7511, Error: 39775.11% 
Minibatch: 2000, Loss: 427.1309, Error: 42713.09% 
Minibatch: 2500, Loss: 340.1463, Error: 34014.63% 
Minibatch: 3000, Loss: 426.1211, Error: 42612.11% 
Minibatch: 3500, Loss: 407.0005, Error: 40700.05% 
Minibatch: 4000, Loss: 410.0047, Error: 41000.47% 
Minibatch: 4500, Loss: 484.1833, Error: 48418.33% 
Minibatch: 5000, Loss: 412.4796, Error: 41247.96% 
Minibatch: 5500, Loss: 349.6963, Error: 34969.63% 
Minibatch: 6000, Loss: 398.2593, Error: 39825.93% 
Minibatch: 6500, Loss: 404.3544, Error: 40435.44% 
Minibatch: 7000, Loss: 372.3757, Error: 37237.57% 
Minibatch: 7500, Loss: 390.5444, Error: 39054.44% 
Minibatch: 8000, Loss: 407.1117, Error: 40711.17% 
Minibatch: 8500, Loss: 387.9311, Error: 38793.11% 
Minibatch: 9000, Loss: 420.5342, Error: 42053.42% 
Minibatch: 9500, Loss: 402.4229, Error: 40242.29% 
Minibatch: 10000, Loss: 373.9255, Error: 37392.55% 
Minibatch: 10500, Loss: 436.2328, Error: 43623.28% 
Minibatch: 11000, Loss: 346.2723, Error: 34627.23% 
Minibatch: 11500, Loss: 333.3757, Error: 33337.57% 
Minibatch: 12000, Loss: 410.1019, Error: 41010.19% 
Minibatch: 12500, Loss: 374.8731, Error: 37487.31% 
Minibatch: 13000, Loss: 393.1271, Error: 39312.71% 
Minibatch: 13500, Loss: 378.7780, Error: 37877.80% 
Minibatch: 14000, Loss: 386.1151, Error: 38611.51% 
Minibatch: 14500, Loss: 384.8047, Error: 38480.47% 
