hidden_layer_dim = 21
learning_rate = [0.0002]*734128 + [0.00002]*2000000 + [0.00001]*4000000 + [0.000005]*5000000
minibatch_size = 300
num_train_samples_per_sweep = 11734128
num_test_samples = 2933532
Minibatch: 0, Loss: 66900.3133, Error: 6690031.33% 
Minibatch: 500, Loss: 530.2406, Error: 53024.06% 
Minibatch: 1000, Loss: 435.9332, Error: 43593.32% 
Minibatch: 1500, Loss: 493.7308, Error: 49373.08% 
Minibatch: 2000, Loss: 361.9549, Error: 36195.49% 
Minibatch: 2500, Loss: 409.9459, Error: 40994.59% 
Minibatch: 3000, Loss: 400.3304, Error: 40033.04% 
Minibatch: 3500, Loss: 400.3255, Error: 40032.55% 
Minibatch: 4000, Loss: 446.5657, Error: 44656.57% 
Minibatch: 4500, Loss: 513.3218, Error: 51332.18% 
Minibatch: 5000, Loss: 426.4293, Error: 42642.93% 
Minibatch: 5500, Loss: 414.6151, Error: 41461.51% 
Minibatch: 6000, Loss: 488.2964, Error: 48829.64% 
Minibatch: 6500, Loss: 440.2657, Error: 44026.57% 
Minibatch: 7000, Loss: 368.1560, Error: 36815.60% 
Minibatch: 7500, Loss: 387.2186, Error: 38721.86% 
Minibatch: 8000, Loss: 435.3684, Error: 43536.84% 
Minibatch: 8500, Loss: 371.4256, Error: 37142.56% 
Minibatch: 9000, Loss: 388.0119, Error: 38801.19% 
Minibatch: 9500, Loss: 375.2762, Error: 37527.62% 
Minibatch: 10000, Loss: 368.2466, Error: 36824.66% 
Minibatch: 10500, Loss: 441.6033, Error: 44160.33% 
Minibatch: 11000, Loss: 464.7677, Error: 46476.77% 
Minibatch: 11500, Loss: 356.5811, Error: 35658.11% 
Minibatch: 12000, Loss: 403.5827, Error: 40358.27% 
Minibatch: 12500, Loss: 346.8950, Error: 34689.50% 
Minibatch: 13000, Loss: 385.0742, Error: 38507.42% 
Minibatch: 13500, Loss: 494.5774, Error: 49457.74% 
Minibatch: 14000, Loss: 391.6834, Error: 39168.34% 
Minibatch: 14500, Loss: 431.0198, Error: 43101.98% 
Minibatch: 15000, Loss: 408.8490, Error: 40884.90% 
Minibatch: 15500, Loss: 404.4257, Error: 40442.57% 
Minibatch: 16000, Loss: 396.4334, Error: 39643.34% 
Minibatch: 16500, Loss: 436.0699, Error: 43606.99% 
Minibatch: 17000, Loss: 376.5322, Error: 37653.22% 
Minibatch: 17500, Loss: 473.9764, Error: 47397.64% 
Minibatch: 18000, Loss: 455.5733, Error: 45557.33% 
Minibatch: 18500, Loss: 354.3713, Error: 35437.13% 
Minibatch: 19000, Loss: 354.1059, Error: 35410.59% 
Minibatch: 19500, Loss: 395.8086, Error: 39580.86% 
Minibatch: 20000, Loss: 405.8967, Error: 40589.67% 
Minibatch: 20500, Loss: 396.0227, Error: 39602.27% 
Minibatch: 21000, Loss: 458.7408, Error: 45874.08% 
Minibatch: 21500, Loss: 447.4826, Error: 44748.26% 
