hidden_layer_dim = 9
learning_rate = [0.0002]*734128 + [0.00002]*2000000 + [0.00001]*4000000 + [0.000005]*5000000
minibatch_size = 300
num_train_samples_per_sweep = 11734128
num_test_samples = 2933532
Minibatch: 0, Loss: 66684.2333, Error: 6668423.33% 
Minibatch: 500, Loss: 576.0189, Error: 57601.89% 
Minibatch: 1000, Loss: 454.5323, Error: 45453.23% 
Minibatch: 1500, Loss: 525.4439, Error: 52544.39% 
Minibatch: 2000, Loss: 404.9832, Error: 40498.32% 
Minibatch: 2500, Loss: 448.9190, Error: 44891.90% 
Minibatch: 3000, Loss: 435.1304, Error: 43513.04% 
Minibatch: 3500, Loss: 426.3380, Error: 42633.80% 
Minibatch: 4000, Loss: 460.7727, Error: 46077.27% 
Minibatch: 4500, Loss: 537.7341, Error: 53773.41% 
Minibatch: 5000, Loss: 450.2139, Error: 45021.39% 
Minibatch: 5500, Loss: 444.7177, Error: 44471.77% 
Minibatch: 6000, Loss: 506.2413, Error: 50624.13% 
Minibatch: 6500, Loss: 470.5409, Error: 47054.09% 
Minibatch: 7000, Loss: 391.9180, Error: 39191.80% 
Minibatch: 7500, Loss: 429.4747, Error: 42947.47% 
Minibatch: 8000, Loss: 461.1834, Error: 46118.34% 
Minibatch: 8500, Loss: 402.7824, Error: 40278.24% 
Minibatch: 9000, Loss: 401.2286, Error: 40122.86% 
Minibatch: 9500, Loss: 435.9516, Error: 43595.16% 
Minibatch: 10000, Loss: 421.7019, Error: 42170.19% 
Minibatch: 10500, Loss: 475.5473, Error: 47554.73% 
Minibatch: 11000, Loss: 519.5205, Error: 51952.05% 
Minibatch: 11500, Loss: 401.2553, Error: 40125.53% 
Minibatch: 12000, Loss: 433.1318, Error: 43313.18% 
Minibatch: 12500, Loss: 386.5940, Error: 38659.40% 
Minibatch: 13000, Loss: 407.8302, Error: 40783.02% 
Minibatch: 13500, Loss: 523.3672, Error: 52336.72% 
Minibatch: 14000, Loss: 431.6265, Error: 43162.65% 
Minibatch: 14500, Loss: 476.1333, Error: 47613.33% 
Minibatch: 15000, Loss: 448.9685, Error: 44896.85% 
Minibatch: 15500, Loss: 435.9143, Error: 43591.43% 
Minibatch: 16000, Loss: 434.4915, Error: 43449.15% 
Minibatch: 16500, Loss: 478.9381, Error: 47893.81% 
Minibatch: 17000, Loss: 438.6516, Error: 43865.16% 
Minibatch: 17500, Loss: 498.0859, Error: 49808.59% 
Minibatch: 18000, Loss: 473.8662, Error: 47386.62% 
Minibatch: 18500, Loss: 395.2857, Error: 39528.57% 
Minibatch: 19000, Loss: 404.8551, Error: 40485.51% 
Minibatch: 19500, Loss: 445.6014, Error: 44560.14% 
Minibatch: 20000, Loss: 447.1700, Error: 44717.00% 
Minibatch: 20500, Loss: 416.8813, Error: 41688.13% 
Minibatch: 21000, Loss: 500.3892, Error: 50038.92% 
Minibatch: 21500, Loss: 484.2202, Error: 48422.02% 
Minibatch: 22000, Loss: 418.4104, Error: 41841.04% 
Minibatch: 22500, Loss: 480.8118, Error: 48081.18% 
Minibatch: 23000, Loss: 418.5978, Error: 41859.78% 
Minibatch: 23500, Loss: 430.7154, Error: 43071.54% 
Minibatch: 24000, Loss: 486.6484, Error: 48664.84% 
