hidden_layer_dim = 21
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*734128
minibatch_size = 500
num_train_samples_per_sweep = 11734128
num_test_samples = 2933532
Minibatch: 0, Loss: 65165.3280, Error: 6516532.80% 
Minibatch: 500, Loss: 426.2093, Error: 42620.93% 
Minibatch: 1000, Loss: 462.1934, Error: 46219.34% 
Minibatch: 1500, Loss: 385.7329, Error: 38573.29% 
Minibatch: 2000, Loss: 418.5814, Error: 41858.14% 
Minibatch: 2500, Loss: 427.3927, Error: 42739.27% 
Minibatch: 3000, Loss: 413.2511, Error: 41325.11% 
Minibatch: 3500, Loss: 368.6548, Error: 36865.48% 
Minibatch: 4000, Loss: 420.2946, Error: 42029.46% 
Minibatch: 4500, Loss: 383.9932, Error: 38399.32% 
Minibatch: 5000, Loss: 372.8145, Error: 37281.45% 
Minibatch: 5500, Loss: 400.0438, Error: 40004.38% 
Minibatch: 6000, Loss: 380.8108, Error: 38081.08% 
Minibatch: 6500, Loss: 388.4125, Error: 38841.25% 
Minibatch: 7000, Loss: 404.7125, Error: 40471.25% 
Minibatch: 7500, Loss: 360.4441, Error: 36044.41% 
Minibatch: 8000, Loss: 407.3369, Error: 40733.69% 
Minibatch: 8500, Loss: 377.9933, Error: 37799.33% 
Minibatch: 9000, Loss: 373.2720, Error: 37327.20% 
Minibatch: 9500, Loss: 358.3074, Error: 35830.74% 
Minibatch: 10000, Loss: 402.1399, Error: 40213.99% 
Minibatch: 10500, Loss: 427.9608, Error: 42796.08% 
Minibatch: 11000, Loss: 336.3232, Error: 33632.32% 
Minibatch: 11500, Loss: 470.7203, Error: 47072.03% 
Minibatch: 12000, Loss: 389.0028, Error: 38900.28% 
Minibatch: 12500, Loss: 399.3106, Error: 39931.06% 
Minibatch: 13000, Loss: 363.3659, Error: 36336.59% 
Minibatch: 13500, Loss: 409.2792, Error: 40927.92% 
Minibatch: 14000, Loss: 402.3401, Error: 40234.01% 
Minibatch: 14500, Loss: 407.6388, Error: 40763.88% 
Minibatch: 15000, Loss: 377.1862, Error: 37718.62% 
Minibatch: 15500, Loss: 404.4058, Error: 40440.58% 
Minibatch: 16000, Loss: 438.7443, Error: 43874.43% 
Minibatch: 16500, Loss: 395.6820, Error: 39568.20% 
Minibatch: 17000, Loss: 394.3064, Error: 39430.64% 
Minibatch: 17500, Loss: 400.9613, Error: 40096.13% 
Minibatch: 18000, Loss: 381.0646, Error: 38106.46% 
Minibatch: 18500, Loss: 347.9842, Error: 34798.42% 
Minibatch: 19000, Loss: 413.9484, Error: 41394.84% 
Minibatch: 19500, Loss: 357.0248, Error: 35702.48% 
Minibatch: 20000, Loss: 364.8569, Error: 36485.69% 
Minibatch: 20500, Loss: 418.6934, Error: 41869.34% 
Minibatch: 21000, Loss: 345.9947, Error: 34599.47% 
Minibatch: 21500, Loss: 366.7583, Error: 36675.83% 
