hidden_layer_dim = 15
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*734128
minibatch_size = 500
num_train_samples_per_sweep = 11734128
num_test_samples = 2933532
Minibatch: 0, Loss: 66558.1440, Error: 6655814.40% 
Minibatch: 500, Loss: 411.3355, Error: 41133.55% 
Minibatch: 1000, Loss: 388.1749, Error: 38817.49% 
Minibatch: 1500, Loss: 407.3176, Error: 40731.76% 
Minibatch: 2000, Loss: 438.1989, Error: 43819.89% 
Minibatch: 2500, Loss: 431.1109, Error: 43111.09% 
Minibatch: 3000, Loss: 426.0189, Error: 42601.89% 
Minibatch: 3500, Loss: 401.2575, Error: 40125.75% 
Minibatch: 4000, Loss: 408.1357, Error: 40813.57% 
Minibatch: 4500, Loss: 391.3608, Error: 39136.08% 
Minibatch: 5000, Loss: 386.3895, Error: 38638.95% 
Minibatch: 5500, Loss: 377.8797, Error: 37787.97% 
Minibatch: 6000, Loss: 398.5461, Error: 39854.61% 
Minibatch: 6500, Loss: 399.7236, Error: 39972.36% 
Minibatch: 7000, Loss: 366.7719, Error: 36677.19% 
Minibatch: 7500, Loss: 433.5085, Error: 43350.85% 
Minibatch: 8000, Loss: 376.9826, Error: 37698.26% 
Minibatch: 8500, Loss: 444.6757, Error: 44467.57% 
Minibatch: 9000, Loss: 389.8161, Error: 38981.61% 
Minibatch: 9500, Loss: 433.1114, Error: 43311.14% 
Minibatch: 10000, Loss: 444.6910, Error: 44469.10% 
Minibatch: 10500, Loss: 377.1742, Error: 37717.42% 
Minibatch: 11000, Loss: 428.3304, Error: 42833.04% 
Minibatch: 11500, Loss: 387.4123, Error: 38741.23% 
Minibatch: 12000, Loss: 400.1652, Error: 40016.52% 
Minibatch: 12500, Loss: 405.4574, Error: 40545.74% 
Minibatch: 13000, Loss: 393.1562, Error: 39315.62% 
Minibatch: 13500, Loss: 410.5137, Error: 41051.37% 
Minibatch: 14000, Loss: 414.9189, Error: 41491.89% 
Minibatch: 14500, Loss: 397.9867, Error: 39798.67% 
Minibatch: 15000, Loss: 388.8009, Error: 38880.09% 
Minibatch: 15500, Loss: 381.6877, Error: 38168.78% 
Minibatch: 16000, Loss: 393.0033, Error: 39300.33% 
Minibatch: 16500, Loss: 404.8022, Error: 40480.22% 
Minibatch: 17000, Loss: 385.8891, Error: 38588.91% 
Minibatch: 17500, Loss: 433.3465, Error: 43334.65% 
Minibatch: 18000, Loss: 410.6417, Error: 41064.17% 
Minibatch: 18500, Loss: 389.9327, Error: 38993.27% 
Minibatch: 19000, Loss: 369.3445, Error: 36934.45% 
Minibatch: 19500, Loss: 387.4667, Error: 38746.67% 
Minibatch: 20000, Loss: 397.3929, Error: 39739.29% 
Minibatch: 20500, Loss: 394.8752, Error: 39487.52% 
Minibatch: 21000, Loss: 434.2095, Error: 43420.95% 
Minibatch: 21500, Loss: 421.9685, Error: 42196.85% 
Minibatch: 22000, Loss: 409.6881, Error: 40968.81% 
Minibatch: 22500, Loss: 423.3396, Error: 42333.96% 
Minibatch: 23000, Loss: 367.8059, Error: 36780.59% 
Minibatch: 23500, Loss: 380.2798, Error: 38027.98% 
Minibatch: 24000, Loss: 428.0668, Error: 42806.68% 
Minibatch: 24500, Loss: 361.8304, Error: 36183.04% 
Minibatch: 25000, Loss: 397.4912, Error: 39749.12% 
Minibatch: 25500, Loss: 395.3645, Error: 39536.45% 
Minibatch: 26000, Loss: 369.1079, Error: 36910.79% 
Minibatch: 26500, Loss: 359.1202, Error: 35912.02% 
Minibatch: 27000, Loss: 422.0079, Error: 42200.79% 
Minibatch: 27500, Loss: 424.6332, Error: 42463.32% 
Minibatch: 28000, Loss: 388.7717, Error: 38877.17% 
Minibatch: 28500, Loss: 419.6663, Error: 41966.63% 
Minibatch: 29000, Loss: 393.7826, Error: 39378.26% 
Minibatch: 29500, Loss: 332.8323, Error: 33283.23% 
Minibatch: 30000, Loss: 401.8945, Error: 40189.45% 
Minibatch: 30500, Loss: 387.8960, Error: 38789.60% 
Minibatch: 31000, Loss: 353.2012, Error: 35320.12% 
Minibatch: 31500, Loss: 440.7452, Error: 44074.53% 
Minibatch: 32000, Loss: 388.6666, Error: 38866.66% 
Minibatch: 32500, Loss: 430.4111, Error: 43041.11% 
Minibatch: 33000, Loss: 402.1712, Error: 40217.12% 
Minibatch: 33500, Loss: 404.7309, Error: 40473.09% 
Minibatch: 34000, Loss: 400.3218, Error: 40032.18% 
Minibatch: 34500, Loss: 386.2879, Error: 38628.79% 
Minibatch: 35000, Loss: 353.6667, Error: 35366.67% 
Minibatch: 35500, Loss: 443.8177, Error: 44381.78% 
Minibatch: 36000, Loss: 406.4912, Error: 40649.12% 
Minibatch: 36500, Loss: 368.3544, Error: 36835.44% 
Minibatch: 37000, Loss: 410.1915, Error: 41019.15% 
Minibatch: 37500, Loss: 427.1647, Error: 42716.47% 
Minibatch: 38000, Loss: 392.9932, Error: 39299.32% 
Minibatch: 38500, Loss: 365.2861, Error: 36528.61% 
Minibatch: 39000, Loss: 367.5029, Error: 36750.29% 
Minibatch: 39500, Loss: 353.2410, Error: 35324.10% 
Minibatch: 40000, Loss: 371.7593, Error: 37175.93% 
Minibatch: 40500, Loss: 463.5046, Error: 46350.46% 
Minibatch: 41000, Loss: 415.4675, Error: 41546.75% 
Minibatch: 41500, Loss: 422.9658, Error: 42296.58% 
Minibatch: 42000, Loss: 411.3926, Error: 41139.26% 
Minibatch: 42500, Loss: 361.7602, Error: 36176.02% 
Minibatch: 43000, Loss: 435.8257, Error: 43582.57% 
Minibatch: 43500, Loss: 436.5312, Error: 43653.12% 
Minibatch: 44000, Loss: 363.9345, Error: 36393.45% 
Minibatch: 44500, Loss: 373.7075, Error: 37370.75% 
Minibatch: 45000, Loss: 395.3683, Error: 39536.83% 
Minibatch: 45500, Loss: 397.7857, Error: 39778.57% 
Minibatch: 46000, Loss: 401.1512, Error: 40115.12% 
Minibatch: 46500, Loss: 380.0851, Error: 38008.51% 
Minibatch: 47000, Loss: 454.0216, Error: 45402.16% 
Minibatch: 47500, Loss: 368.9142, Error: 36891.42% 
Minibatch: 48000, Loss: 369.6975, Error: 36969.75% 
Minibatch: 48500, Loss: 420.1306, Error: 42013.06% 
Minibatch: 49000, Loss: 388.6212, Error: 38862.12% 
Minibatch: 49500, Loss: 399.3051, Error: 39930.51% 
Minibatch: 50000, Loss: 431.4738, Error: 43147.38% 
Minibatch: 50500, Loss: 374.2228, Error: 37422.28% 
