hidden_layer_dim = 15
learning_rate = 2e-05
minibatch_size = 100
num_train_samples_per_sweep = 259308
num_test_samples = 2646
Minibatch: 0, Loss: 40305.5450, Error: 4030554.50% 
Minibatch: 500, Loss: 3822.7094, Error: 382270.94% 
Minibatch: 1000, Loss: 1333.6498, Error: 133364.98% 
Minibatch: 1500, Loss: 714.9758, Error: 71497.58% 
Minibatch: 2000, Loss: 355.6913, Error: 35569.13% 
Minibatch: 2500, Loss: 399.6599, Error: 39965.99% 
Minibatch: 3000, Loss: 349.0227, Error: 34902.27% 
Minibatch: 3500, Loss: 340.8541, Error: 34085.41% 
Minibatch: 4000, Loss: 362.2725, Error: 36227.25% 
Minibatch: 4500, Loss: 643.9480, Error: 64394.80% 
Minibatch: 5000, Loss: 406.5102, Error: 40651.02% 
Minibatch: 5500, Loss: 358.9097, Error: 35890.97% 
Minibatch: 6000, Loss: 351.8813, Error: 35188.13% 
Minibatch: 6500, Loss: 338.7627, Error: 33876.27% 
Minibatch: 7000, Loss: 431.9972, Error: 43199.72% 
Minibatch: 7500, Loss: 284.4661, Error: 28446.61% 
Minibatch: 8000, Loss: 298.2508, Error: 29825.08% 
Minibatch: 8500, Loss: 310.0160, Error: 31001.60% 
Minibatch: 9000, Loss: 361.1772, Error: 36117.72% 
Minibatch: 9500, Loss: 375.9109, Error: 37591.09% 
Minibatch: 10000, Loss: 325.4378, Error: 32543.78% 
Minibatch: 10500, Loss: 315.9021, Error: 31590.21% 
Minibatch: 11000, Loss: 350.5559, Error: 35055.59% 
Minibatch: 11500, Loss: 320.0489, Error: 32004.89% 
Minibatch: 12000, Loss: 284.3999, Error: 28439.99% 
Minibatch: 12500, Loss: 357.0968, Error: 35709.68% 
Minibatch: 13000, Loss: 533.7332, Error: 53373.32% 
Minibatch: 13500, Loss: 323.6975, Error: 32369.75% 
Minibatch: 14000, Loss: 302.2349, Error: 30223.49% 
Minibatch: 14500, Loss: 364.3882, Error: 36438.82% 
Minibatch: 15000, Loss: 250.0683, Error: 25006.83% 
Minibatch: 15500, Loss: 401.3779, Error: 40137.79% 
Minibatch: 16000, Loss: 320.2634, Error: 32026.34% 
Minibatch: 16500, Loss: 381.1414, Error: 38114.14% 
Minibatch: 17000, Loss: 371.7829, Error: 37178.29% 
Minibatch: 17500, Loss: 294.5039, Error: 29450.39% 
Minibatch: 18000, Loss: 441.9775, Error: 44197.75% 
Minibatch: 18500, Loss: 290.1086, Error: 29010.86% 
Minibatch: 19000, Loss: 267.6927, Error: 26769.27% 
Minibatch: 19500, Loss: 439.2736, Error: 43927.36% 
Minibatch: 20000, Loss: 478.0116, Error: 47801.16% 
Minibatch: 20500, Loss: 504.3672, Error: 50436.72% 
Minibatch: 21000, Loss: 268.6342, Error: 26863.42% 
Minibatch: 21500, Loss: 364.1034, Error: 36410.34% 
Minibatch: 22000, Loss: 258.3697, Error: 25836.97% 
Minibatch: 22500, Loss: 443.6650, Error: 44366.50% 
Minibatch: 23000, Loss: 383.0274, Error: 38302.74% 
Minibatch: 23500, Loss: 373.8051, Error: 37380.51% 
Minibatch: 24000, Loss: 266.1899, Error: 26618.99% 
Minibatch: 24500, Loss: 359.6817, Error: 35968.17% 
Minibatch: 25000, Loss: 265.6815, Error: 26568.15% 
Minibatch: 25500, Loss: 468.5841, Error: 46858.41% 
Label-Feature Diff = [13.0, 22.0, 6.0]
Label - Predict Diff = [11.0, 9.0, 20.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label - Predict Diff = [10.0, 8.0, 19.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label - Predict Diff = [10.0, 8.0, 19.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [12.0, 21.0, 5.0]
Label - Predict Diff = [10.0, 8.0, 19.0]

Label-Feature Diff = [10.0, 19.0, 3.0]
Label - Predict Diff = [8.0, 6.0, 17.0]

Label-Feature Diff = [14.0, 23.0, 7.0]
Label - Predict Diff = [12.0, 10.0, 21.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [19.0, 28.0, 12.0]
Label - Predict Diff = [17.0, 14.0, 26.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [13.0, 22.0, 6.0]
Label - Predict Diff = [11.0, 9.0, 20.0]

Label-Feature Diff = [13.0, 22.0, 6.0]
Label - Predict Diff = [11.0, 9.0, 20.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label - Predict Diff = [16.0, 13.0, 25.0]

Label-Feature Diff = [20.0, 29.0, 13.0]
Label - Predict Diff = [18.0, 15.0, 27.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label - Predict Diff = [16.0, 13.0, 25.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label - Predict Diff = [16.0, 13.0, 25.0]

Label-Feature Diff = [20.0, 29.0, 13.0]
Label - Predict Diff = [18.0, 15.0, 27.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label - Predict Diff = [16.0, 13.0, 25.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label - Predict Diff = [16.0, 13.0, 25.0]

Label-Feature Diff = [13.0, 22.0, 6.0]
Label - Predict Diff = [11.0, 9.0, 20.0]

Label-Feature Diff = [13.0, 22.0, 6.0]
Label - Predict Diff = [11.0, 9.0, 20.0]

Label-Feature Diff = [13.0, 22.0, 6.0]
Label - Predict Diff = [11.0, 9.0, 20.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label - Predict Diff = [16.0, 13.0, 25.0]

Label-Feature Diff = [18.0, 27.0, 11.0]
Label - Predict Diff = [16.0, 13.0, 25.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [17.0, 26.0, 10.0]
Label - Predict Diff = [15.0, 13.0, 24.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [15.0, 24.0, 8.0]
Label - Predict Diff = [13.0, 11.0, 22.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [16.0, 25.0, 9.0]
Label - Predict Diff = [14.0, 12.0, 23.0]

Label-Feature Diff = [17.0, 29.0, 9.0]
Label - Predict Diff = [16.0, 16.0, 24.0]

Label-Feature Diff = [18.0, 30.0, 10.0]
Label - Predict Diff = [17.0, 17.0, 25.0]

Label-Feature Diff = [19.0, 31.0, 11.0]
Label - Predict Diff = [18.0, 18.0, 26.0]

Label-Feature Diff = [21.0, 33.0, 13.0]
Label - Predict Diff = [20.0, 20.0, 28.0]

Label-Feature Diff = [22.0, 34.0, 14.0]
Label - Predict Diff = [21.0, 21.0, 29.0]

Label-Feature Diff = [23.0, 35.0, 15.0]
Label - Predict Diff = [22.0, 22.0, 30.0]

Label-Feature Diff = [23.0, 35.0, 15.0]
Label - Predict Diff = [22.0, 22.0, 30.0]

Label-Feature Diff = [16.0, 28.0, 8.0]
Label - Predict Diff = [15.0, 15.0, 23.0]

Label-Feature Diff = [15.0, 27.0, 7.0]
Label - Predict Diff = [14.0, 14.0, 22.0]

Label-Feature Diff = [15.0, 27.0, 7.0]
Label - Predict Diff = [14.0, 14.0, 22.0]

Label-Feature Diff = [17.0, 29.0, 9.0]
Label - Predict Diff = [16.0, 16.0, 24.0]

Label-Feature Diff = [20.0, 32.0, 12.0]
Label - Predict Diff = [19.0, 19.0, 27.0]

Label-Feature Diff = [24.0, 36.0, 16.0]
Label - Predict Diff = [23.0, 23.0, 31.0]

Label-Feature Diff = [26.0, 38.0, 18.0]
Label - Predict Diff = [25.0, 25.0, 33.0]

Label-Feature Diff = [15.0, 27.0, 7.0]
Label - Predict Diff = [14.0, 14.0, 22.0]

Label-Feature Diff = [13.0, 25.0, 5.0]
Label - Predict Diff = [12.0, 12.0, 19.0]

Label-Feature Diff = [12.0, 24.0, 4.0]
Label - Predict Diff = [11.0, 11.0, 18.0]

Label-Feature Diff = [14.0, 26.0, 6.0]
Label - Predict Diff = [13.0, 13.0, 20.0]

Label-Feature Diff = [19.0, 31.0, 11.0]
Label - Predict Diff = [18.0, 18.0, 26.0]

Label-Feature Diff = [24.0, 36.0, 16.0]
Label - Predict Diff = [23.0, 23.0, 31.0]

Label-Feature Diff = [27.0, 39.0, 19.0]
Label - Predict Diff = [26.0, 25.0, 34.0]

Label-Feature Diff = [16.0, 28.0, 8.0]
Label - Predict Diff = [15.0, 15.0, 23.0]

Label-Feature Diff = [14.0, 26.0, 6.0]
Label - Predict Diff = [13.0, 13.0, 20.0]

Label-Feature Diff = [13.0, 25.0, 5.0]
Label - Predict Diff = [12.0, 12.0, 19.0]

Label-Feature Diff = [14.0, 26.0, 6.0]
Label - Predict Diff = [13.0, 13.0, 20.0]

Label-Feature Diff = [18.0, 30.0, 10.0]
Label - Predict Diff = [17.0, 17.0, 25.0]

Label-Feature Diff = [23.0, 35.0, 15.0]
Label - Predict Diff = [22.0, 22.0, 30.0]

Label-Feature Diff = [26.0, 38.0, 18.0]
Label - Predict Diff = [25.0, 25.0, 33.0]

Label-Feature Diff = [18.0, 30.0, 10.0]
Label - Predict Diff = [17.0, 17.0, 25.0]

Label-Feature Diff = [16.0, 28.0, 8.0]
Label - Predict Diff = [15.0, 15.0, 23.0]

Label-Feature Diff = [16.0, 28.0, 8.0]
Label - Predict Diff = [15.0, 15.0, 23.0]

Label-Feature Diff = [17.0, 29.0, 9.0]
Label - Predict Diff = [16.0, 16.0, 24.0]

