hidden_layer_dim = 6
learning_rate = [0.0002]*1000000 + [0.00002]*500000 + [0.00001]*200000 + [0.000005]*67024
minibatch_size = 100
num_train_samples_per_sweep = 1767024
num_test_samples = 441756
Minibatch: 0, Loss: 61645.6950, Error: 6164569.50% 
Minibatch: 500, Loss: 601.8659, Error: 60186.59% 
Minibatch: 1000, Loss: 585.7779, Error: 58577.79% 
Minibatch: 1500, Loss: 573.5319, Error: 57353.19% 
Minibatch: 2000, Loss: 1248.6484, Error: 124864.84% 
Minibatch: 2500, Loss: 473.6530, Error: 47365.30% 
Minibatch: 3000, Loss: 544.9429, Error: 54494.29% 
Minibatch: 3500, Loss: 445.0596, Error: 44505.96% 
Minibatch: 4000, Loss: 601.6125, Error: 60161.25% 
Minibatch: 4500, Loss: 610.3871, Error: 61038.71% 
Minibatch: 5000, Loss: 559.8058, Error: 55980.58% 
Minibatch: 5500, Loss: 612.1259, Error: 61212.59% 
Minibatch: 6000, Loss: 626.3316, Error: 62633.16% 
Minibatch: 6500, Loss: 521.8896, Error: 52188.96% 
Minibatch: 7000, Loss: 484.0812, Error: 48408.12% 
Minibatch: 7500, Loss: 521.8504, Error: 52185.04% 
Minibatch: 8000, Loss: 803.7800, Error: 80378.00% 
Minibatch: 8500, Loss: 428.4834, Error: 42848.34% 
Minibatch: 9000, Loss: 430.9482, Error: 43094.82% 
Minibatch: 9500, Loss: 508.1016, Error: 50810.16% 
Minibatch: 10000, Loss: 430.5324, Error: 43053.24% 
Minibatch: 10500, Loss: 494.8064, Error: 49480.64% 
Minibatch: 11000, Loss: 527.0895, Error: 52708.95% 
Minibatch: 11500, Loss: 453.2984, Error: 45329.84% 
Minibatch: 12000, Loss: 507.8655, Error: 50786.55% 
Minibatch: 12500, Loss: 433.2931, Error: 43329.31% 
Minibatch: 13000, Loss: 494.5710, Error: 49457.10% 
Minibatch: 13500, Loss: 604.4250, Error: 60442.50% 
Minibatch: 14000, Loss: 473.7995, Error: 47379.95% 
Minibatch: 14500, Loss: 490.5091, Error: 49050.91% 
Minibatch: 15000, Loss: 539.3301, Error: 53933.01% 
Minibatch: 15500, Loss: 403.7500, Error: 40375.00% 
Minibatch: 16000, Loss: 480.7532, Error: 48075.32% 
Minibatch: 16500, Loss: 728.2719, Error: 72827.19% 
Minibatch: 17000, Loss: 520.0804, Error: 52008.04% 
Minibatch: 17500, Loss: 456.6993, Error: 45669.93% 
Minibatch: 18000, Loss: 813.8806, Error: 81388.06% 
Minibatch: 18500, Loss: 592.5054, Error: 59250.54% 
Minibatch: 19000, Loss: 520.3597, Error: 52035.97% 
Minibatch: 19500, Loss: 611.7546, Error: 61175.46% 
Minibatch: 20000, Loss: 508.9410, Error: 50894.10% 
Minibatch: 20500, Loss: 673.3253, Error: 67332.53% 
Minibatch: 21000, Loss: 483.4508, Error: 48345.08% 
Minibatch: 21500, Loss: 365.7125, Error: 36571.25% 
Minibatch: 22000, Loss: 582.2707, Error: 58227.07% 
Minibatch: 22500, Loss: 537.8756, Error: 53787.56% 
Minibatch: 23000, Loss: 547.6554, Error: 54765.54% 
Minibatch: 23500, Loss: 581.2239, Error: 58122.39% 
Minibatch: 24000, Loss: 686.3145, Error: 68631.45% 
Minibatch: 24500, Loss: 752.5406, Error: 75254.06% 
Minibatch: 25000, Loss: 510.5042, Error: 51050.42% 
Minibatch: 25500, Loss: 1260.2655, Error: 126026.55% 
Minibatch: 26000, Loss: 548.1580, Error: 54815.80% 
Minibatch: 26500, Loss: 721.1566, Error: 72115.66% 
Minibatch: 27000, Loss: 591.1162, Error: 59111.62% 
Minibatch: 27500, Loss: 681.8768, Error: 68187.68% 
Minibatch: 28000, Loss: 867.1451, Error: 86714.51% 
Minibatch: 28500, Loss: 721.7095, Error: 72170.95% 
Minibatch: 29000, Loss: 649.9627, Error: 64996.27% 
Minibatch: 29500, Loss: 503.8904, Error: 50389.04% 
Minibatch: 30000, Loss: 719.8303, Error: 71983.03% 
Minibatch: 30500, Loss: 984.8277, Error: 98482.77% 
Minibatch: 31000, Loss: 724.9122, Error: 72491.22% 
Minibatch: 31500, Loss: 616.8355, Error: 61683.55% 
Minibatch: 32000, Loss: 338.9877, Error: 33898.77% 
Minibatch: 32500, Loss: 877.7018, Error: 87770.18% 
Minibatch: 33000, Loss: 907.4800, Error: 90748.00% 
Minibatch: 33500, Loss: 530.8444, Error: 53084.44% 
Minibatch: 34000, Loss: 497.4308, Error: 49743.08% 
Minibatch: 34500, Loss: 451.4441, Error: 45144.41% 
Minibatch: 35000, Loss: 638.9466, Error: 63894.66% 
Minibatch: 35500, Loss: 1065.5488, Error: 106554.88% 
Minibatch: 36000, Loss: 602.5450, Error: 60254.50% 
Minibatch: 36500, Loss: 719.1017, Error: 71910.17% 
Minibatch: 37000, Loss: 578.8371, Error: 57883.71% 
Minibatch: 37500, Loss: 911.2650, Error: 91126.50% 
Minibatch: 38000, Loss: 581.7567, Error: 58175.67% 
Minibatch: 38500, Loss: 549.8448, Error: 54984.48% 
Minibatch: 39000, Loss: 474.1098, Error: 47410.98% 
Minibatch: 39500, Loss: 426.9597, Error: 42695.97% 
Minibatch: 40000, Loss: 1144.1402, Error: 114414.02% 
Minibatch: 40500, Loss: 374.9878, Error: 37498.78% 
Minibatch: 41000, Loss: 531.5159, Error: 53151.59% 
Minibatch: 41500, Loss: 447.2777, Error: 44727.77% 
Minibatch: 42000, Loss: 413.6223, Error: 41362.23% 
Minibatch: 42500, Loss: 582.3517, Error: 58235.17% 
Minibatch: 43000, Loss: 427.7149, Error: 42771.49% 
Minibatch: 43500, Loss: 518.7624, Error: 51876.24% 
Minibatch: 44000, Loss: 529.8197, Error: 52981.97% 
Minibatch: 44500, Loss: 602.4037, Error: 60240.37% 
Minibatch: 45000, Loss: 470.8970, Error: 47089.70% 
Minibatch: 45500, Loss: 567.7603, Error: 56776.03% 
Minibatch: 46000, Loss: 391.4661, Error: 39146.61% 
Minibatch: 46500, Loss: 436.3411, Error: 43634.11% 
Minibatch: 47000, Loss: 1039.3968, Error: 103939.68% 
Minibatch: 47500, Loss: 451.6254, Error: 45162.54% 
Minibatch: 48000, Loss: 709.0901, Error: 70909.01% 
Minibatch: 48500, Loss: 421.5421, Error: 42154.21% 
Minibatch: 49000, Loss: 1236.6811, Error: 123668.11% 
Minibatch: 49500, Loss: 746.8473, Error: 74684.73% 
Minibatch: 50000, Loss: 920.7144, Error: 92071.44% 
Minibatch: 50500, Loss: 472.0456, Error: 47204.56% 
Minibatch: 51000, Loss: 1273.9003, Error: 127390.03% 
Minibatch: 51500, Loss: 444.0792, Error: 44407.92% 
Minibatch: 52000, Loss: 494.2686, Error: 49426.86% 
