hidden_layer_dim = 12
learning_rate = [0.0002]*3000000 + [0.00002]*2000000 + [0.00001]*500000 + [0.000005]*490400
minibatch_size = 300
num_train_samples_per_sweep = 5990400
num_test_samples = 1497600
Minibatch: 0, Loss: 47693.7667, Error: 4769376.67% 
Minibatch: 500, Loss: 314.2318, Error: 31423.18% 
Minibatch: 1000, Loss: 304.2313, Error: 30423.13% 
Minibatch: 1500, Loss: 253.3053, Error: 25330.53% 
Minibatch: 2000, Loss: 284.0397, Error: 28403.97% 
Minibatch: 2500, Loss: 269.0899, Error: 26908.99% 
Minibatch: 3000, Loss: 283.8706, Error: 28387.06% 
Minibatch: 3500, Loss: 268.0441, Error: 26804.41% 
Minibatch: 4000, Loss: 278.0140, Error: 27801.40% 
Minibatch: 4500, Loss: 289.2613, Error: 28926.13% 
Minibatch: 5000, Loss: 293.1021, Error: 29310.21% 
Minibatch: 5500, Loss: 285.4821, Error: 28548.21% 
Minibatch: 6000, Loss: 250.7748, Error: 25077.48% 
Minibatch: 6500, Loss: 315.3339, Error: 31533.39% 
Minibatch: 7000, Loss: 261.9031, Error: 26190.31% 
Minibatch: 7500, Loss: 314.9001, Error: 31490.01% 
Minibatch: 8000, Loss: 249.2148, Error: 24921.48% 
Minibatch: 8500, Loss: 230.2482, Error: 23024.82% 
Minibatch: 9000, Loss: 258.4630, Error: 25846.30% 
Minibatch: 9500, Loss: 262.9735, Error: 26297.35% 
Minibatch: 10000, Loss: 262.7767, Error: 26277.67% 
Minibatch: 10500, Loss: 289.0734, Error: 28907.34% 
Minibatch: 11000, Loss: 276.2471, Error: 27624.71% 
Minibatch: 11500, Loss: 201.8189, Error: 20181.89% 
Minibatch: 12000, Loss: 334.8612, Error: 33486.12% 
Minibatch: 12500, Loss: 202.4180, Error: 20241.80% 
Minibatch: 13000, Loss: 214.9902, Error: 21499.02% 
Minibatch: 13500, Loss: 275.6831, Error: 27568.31% 
Minibatch: 14000, Loss: 294.9678, Error: 29496.78% 
Minibatch: 14500, Loss: 345.1948, Error: 34519.48% 
Minibatch: 15000, Loss: 228.1962, Error: 22819.62% 
Minibatch: 15500, Loss: 318.6885, Error: 31868.85% 
Minibatch: 16000, Loss: 299.2286, Error: 29922.86% 
Minibatch: 16500, Loss: 220.3976, Error: 22039.76% 
Minibatch: 17000, Loss: 308.3261, Error: 30832.61% 
Minibatch: 17500, Loss: 194.1145, Error: 19411.45% 
Minibatch: 18000, Loss: 283.9760, Error: 28397.60% 
Minibatch: 18500, Loss: 262.3043, Error: 26230.43% 
Minibatch: 19000, Loss: 329.8777, Error: 32987.77% 
Minibatch: 19500, Loss: 295.2646, Error: 29526.46% 
Minibatch: 20000, Loss: 297.6937, Error: 29769.37% 
