hidden_layer_dim = 6
learning_rate = [0.0002]*1000000 + [0.00002]*700000 + [0.00001]*400000 + [0.000005]*56544
minibatch_size = 100
num_train_samples_per_sweep = 2156544
num_test_samples = 539136
Minibatch: 0, Loss: 46624.4800, Error: 4662448.00% 
Minibatch: 500, Loss: 540.9396, Error: 54093.96% 
Minibatch: 1000, Loss: 441.7028, Error: 44170.28% 
Minibatch: 1500, Loss: 469.7531, Error: 46975.31% 
Minibatch: 2000, Loss: 304.1359, Error: 30413.59% 
Minibatch: 2500, Loss: 464.1203, Error: 46412.03% 
Minibatch: 3000, Loss: 320.0300, Error: 32003.00% 
Minibatch: 3500, Loss: 307.5288, Error: 30752.88% 
Minibatch: 4000, Loss: 609.5671, Error: 60956.71% 
Minibatch: 4500, Loss: 263.2888, Error: 26328.88% 
Minibatch: 5000, Loss: 386.8431, Error: 38684.31% 
Minibatch: 5500, Loss: 316.0578, Error: 31605.78% 
Minibatch: 6000, Loss: 305.0054, Error: 30500.54% 
Minibatch: 6500, Loss: 374.8539, Error: 37485.39% 
Minibatch: 7000, Loss: 337.4923, Error: 33749.23% 
Minibatch: 7500, Loss: 423.7420, Error: 42374.20% 
Minibatch: 8000, Loss: 388.0500, Error: 38805.00% 
Minibatch: 8500, Loss: 271.2899, Error: 27128.99% 
Minibatch: 9000, Loss: 272.0407, Error: 27204.07% 
Minibatch: 9500, Loss: 291.6928, Error: 29169.28% 
Minibatch: 10000, Loss: 311.0665, Error: 31106.65% 
Minibatch: 10500, Loss: 230.0720, Error: 23007.20% 
Minibatch: 11000, Loss: 316.4855, Error: 31648.55% 
Minibatch: 11500, Loss: 273.9148, Error: 27391.48% 
Minibatch: 12000, Loss: 345.9496, Error: 34594.96% 
Minibatch: 12500, Loss: 216.8189, Error: 21681.89% 
Minibatch: 13000, Loss: 363.6862, Error: 36368.62% 
Minibatch: 13500, Loss: 367.6451, Error: 36764.51% 
Minibatch: 14000, Loss: 315.3233, Error: 31532.33% 
Minibatch: 14500, Loss: 343.1311, Error: 34313.11% 
Minibatch: 15000, Loss: 516.8206, Error: 51682.06% 
Minibatch: 15500, Loss: 272.0425, Error: 27204.25% 
Minibatch: 16000, Loss: 373.2455, Error: 37324.55% 
Minibatch: 16500, Loss: 271.1024, Error: 27110.24% 
Minibatch: 17000, Loss: 353.0795, Error: 35307.95% 
Minibatch: 17500, Loss: 313.3881, Error: 31338.81% 
Minibatch: 18000, Loss: 285.1204, Error: 28512.04% 
Minibatch: 18500, Loss: 375.9030, Error: 37590.30% 
Minibatch: 19000, Loss: 419.4289, Error: 41942.89% 
Minibatch: 19500, Loss: 312.8052, Error: 31280.52% 
Minibatch: 20000, Loss: 329.2018, Error: 32920.18% 
Minibatch: 20500, Loss: 376.6495, Error: 37664.95% 
Minibatch: 21000, Loss: 246.0491, Error: 24604.91% 
Minibatch: 21500, Loss: 387.4322, Error: 38743.22% 
Minibatch: 22000, Loss: 362.8639, Error: 36286.39% 
Minibatch: 22500, Loss: 273.0274, Error: 27302.74% 
Minibatch: 23000, Loss: 283.8253, Error: 28382.53% 
Minibatch: 23500, Loss: 229.4279, Error: 22942.79% 
Minibatch: 24000, Loss: 281.5242, Error: 28152.42% 
Minibatch: 24500, Loss: 258.9993, Error: 25899.93% 
Minibatch: 25000, Loss: 274.0834, Error: 27408.34% 
Minibatch: 25500, Loss: 369.3779, Error: 36937.79% 
Minibatch: 26000, Loss: 296.2272, Error: 29622.72% 
