hidden_layer_dim = 24
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*847024
minibatch_size = 500
num_train_samples_per_sweep = 11847024
num_test_samples = 2961756
Minibatch: 0, Loss: 45938.6800, Error: 4593868.00% 
Minibatch: 500, Loss: 412.7931, Error: 41279.31% 
Minibatch: 1000, Loss: 427.9472, Error: 42794.72% 
Minibatch: 1500, Loss: 406.8984, Error: 40689.84% 
Minibatch: 2000, Loss: 392.8334, Error: 39283.34% 
Minibatch: 2500, Loss: 416.7989, Error: 41679.89% 
Minibatch: 3000, Loss: 355.4885, Error: 35548.85% 
Minibatch: 3500, Loss: 391.6051, Error: 39160.51% 
Minibatch: 4000, Loss: 392.8193, Error: 39281.93% 
Minibatch: 4500, Loss: 405.7103, Error: 40571.03% 
Minibatch: 5000, Loss: 374.6638, Error: 37466.38% 
Minibatch: 5500, Loss: 356.4971, Error: 35649.71% 
Minibatch: 6000, Loss: 397.1913, Error: 39719.13% 
Minibatch: 6500, Loss: 368.0138, Error: 36801.38% 
Minibatch: 7000, Loss: 392.5447, Error: 39254.47% 
Minibatch: 7500, Loss: 404.1845, Error: 40418.45% 
Minibatch: 8000, Loss: 375.3690, Error: 37536.90% 
Minibatch: 8500, Loss: 367.6193, Error: 36761.93% 
Minibatch: 9000, Loss: 365.1141, Error: 36511.41% 
Minibatch: 9500, Loss: 395.0659, Error: 39506.59% 
Minibatch: 10000, Loss: 364.6065, Error: 36460.65% 
Minibatch: 10500, Loss: 394.8603, Error: 39486.03% 
Minibatch: 11000, Loss: 371.8460, Error: 37184.60% 
Minibatch: 11500, Loss: 365.5418, Error: 36554.18% 
Minibatch: 12000, Loss: 418.2786, Error: 41827.86% 
Minibatch: 12500, Loss: 339.1649, Error: 33916.49% 
Minibatch: 13000, Loss: 315.9618, Error: 31596.18% 
Minibatch: 13500, Loss: 367.0725, Error: 36707.25% 
Minibatch: 14000, Loss: 339.9218, Error: 33992.18% 
Minibatch: 14500, Loss: 357.5625, Error: 35756.25% 
Minibatch: 15000, Loss: 428.2846, Error: 42828.46% 
Minibatch: 15500, Loss: 393.3197, Error: 39331.97% 
Minibatch: 16000, Loss: 365.9491, Error: 36594.91% 
Minibatch: 16500, Loss: 383.4043, Error: 38340.43% 
Minibatch: 17000, Loss: 359.9103, Error: 35991.03% 
Minibatch: 17500, Loss: 423.4206, Error: 42342.06% 
Minibatch: 18000, Loss: 361.1748, Error: 36117.48% 
Minibatch: 18500, Loss: 389.6724, Error: 38967.24% 
Minibatch: 19000, Loss: 367.0001, Error: 36700.01% 
Minibatch: 19500, Loss: 372.3726, Error: 37237.26% 
Minibatch: 20000, Loss: 373.3162, Error: 37331.62% 
Minibatch: 20500, Loss: 394.2575, Error: 39425.75% 
