hidden_layer_dim = 6
learning_rate = [0.0002]*795184 + [0.00002]*2000000 + [0.00001]*4000000 + [0.000005]*5000000
minibatch_size = 300
num_train_samples_per_sweep = 11795184
num_test_samples = 2948796
Minibatch: 0, Loss: 45314.0533, Error: 4531405.33% 
Minibatch: 500, Loss: 459.5160, Error: 45951.60% 
Minibatch: 1000, Loss: 367.2348, Error: 36723.48% 
Minibatch: 1500, Loss: 420.2485, Error: 42024.85% 
Minibatch: 2000, Loss: 426.3130, Error: 42631.30% 
Minibatch: 2500, Loss: 455.3625, Error: 45536.25% 
Minibatch: 3000, Loss: 465.5656, Error: 46556.56% 
Minibatch: 3500, Loss: 453.3973, Error: 45339.73% 
Minibatch: 4000, Loss: 410.9934, Error: 41099.34% 
Minibatch: 4500, Loss: 452.3710, Error: 45237.10% 
Minibatch: 5000, Loss: 366.9180, Error: 36691.80% 
Minibatch: 5500, Loss: 500.0711, Error: 50007.11% 
Minibatch: 6000, Loss: 349.4980, Error: 34949.80% 
Minibatch: 6500, Loss: 421.3681, Error: 42136.81% 
Minibatch: 7000, Loss: 347.7515, Error: 34775.15% 
Minibatch: 7500, Loss: 485.2075, Error: 48520.75% 
Minibatch: 8000, Loss: 457.3398, Error: 45733.98% 
Minibatch: 8500, Loss: 434.0232, Error: 43402.32% 
Minibatch: 9000, Loss: 397.0774, Error: 39707.74% 
Minibatch: 9500, Loss: 357.8336, Error: 35783.36% 
Minibatch: 10000, Loss: 417.5532, Error: 41755.32% 
Minibatch: 10500, Loss: 443.3276, Error: 44332.76% 
Minibatch: 11000, Loss: 442.6932, Error: 44269.32% 
Minibatch: 11500, Loss: 450.5116, Error: 45051.16% 
Minibatch: 12000, Loss: 427.1583, Error: 42715.83% 
Minibatch: 12500, Loss: 434.0229, Error: 43402.29% 
Minibatch: 13000, Loss: 401.4070, Error: 40140.70% 
Minibatch: 13500, Loss: 447.0610, Error: 44706.10% 
Minibatch: 14000, Loss: 422.8746, Error: 42287.46% 
Minibatch: 14500, Loss: 405.2853, Error: 40528.53% 
Minibatch: 15000, Loss: 374.1954, Error: 37419.54% 
Minibatch: 15500, Loss: 461.9739, Error: 46197.39% 
Minibatch: 16000, Loss: 407.8200, Error: 40782.00% 
Minibatch: 16500, Loss: 444.3110, Error: 44431.10% 
Minibatch: 17000, Loss: 371.2963, Error: 37129.63% 
Minibatch: 17500, Loss: 427.3554, Error: 42735.54% 
Minibatch: 18000, Loss: 370.9041, Error: 37090.41% 
Minibatch: 18500, Loss: 413.7752, Error: 41377.52% 
Minibatch: 19000, Loss: 461.0198, Error: 46101.98% 
Minibatch: 19500, Loss: 356.0429, Error: 35604.29% 
Minibatch: 20000, Loss: 371.6214, Error: 37162.14% 
Minibatch: 20500, Loss: 433.0832, Error: 43308.32% 
Minibatch: 21000, Loss: 441.2041, Error: 44120.41% 
Minibatch: 21500, Loss: 437.1423, Error: 43714.23% 
Minibatch: 22000, Loss: 430.9720, Error: 43097.20% 
Minibatch: 22500, Loss: 370.2159, Error: 37021.59% 
Minibatch: 23000, Loss: 413.3315, Error: 41333.15% 
Minibatch: 23500, Loss: 423.4590, Error: 42345.90% 
Minibatch: 24000, Loss: 509.4068, Error: 50940.68% 
Minibatch: 24500, Loss: 428.6718, Error: 42867.18% 
Minibatch: 25000, Loss: 485.0529, Error: 48505.29% 
Minibatch: 25500, Loss: 486.6920, Error: 48669.20% 
Minibatch: 26000, Loss: 444.2692, Error: 44426.92% 
Minibatch: 26500, Loss: 353.9024, Error: 35390.24% 
Minibatch: 27000, Loss: 418.2754, Error: 41827.54% 
Minibatch: 27500, Loss: 417.2725, Error: 41727.25% 
Minibatch: 28000, Loss: 430.7250, Error: 43072.50% 
Minibatch: 28500, Loss: 442.1573, Error: 44215.73% 
Minibatch: 29000, Loss: 407.4762, Error: 40747.62% 
Minibatch: 29500, Loss: 403.6718, Error: 40367.18% 
Minibatch: 30000, Loss: 472.2021, Error: 47220.21% 
Minibatch: 30500, Loss: 351.0574, Error: 35105.74% 
Minibatch: 31000, Loss: 367.1368, Error: 36713.68% 
Minibatch: 31500, Loss: 443.4432, Error: 44344.32% 
Minibatch: 32000, Loss: 329.8713, Error: 32987.13% 
Minibatch: 32500, Loss: 381.0421, Error: 38104.21% 
Minibatch: 33000, Loss: 374.2405, Error: 37424.05% 
Minibatch: 33500, Loss: 542.4403, Error: 54244.03% 
Minibatch: 34000, Loss: 512.0443, Error: 51204.43% 
Minibatch: 34500, Loss: 416.0557, Error: 41605.57% 
Minibatch: 35000, Loss: 494.0014, Error: 49400.14% 
Minibatch: 35500, Loss: 350.2666, Error: 35026.66% 
Minibatch: 36000, Loss: 405.3011, Error: 40530.11% 
Minibatch: 36500, Loss: 369.0681, Error: 36906.81% 
Minibatch: 37000, Loss: 359.3641, Error: 35936.41% 
Minibatch: 37500, Loss: 478.8569, Error: 47885.69% 
Minibatch: 38000, Loss: 391.1717, Error: 39117.17% 
Minibatch: 38500, Loss: 396.2696, Error: 39626.96% 
Minibatch: 39000, Loss: 417.8177, Error: 41781.77% 
Minibatch: 39500, Loss: 337.0486, Error: 33704.86% 
Minibatch: 40000, Loss: 415.9357, Error: 41593.57% 
Minibatch: 40500, Loss: 385.7351, Error: 38573.51% 
Minibatch: 41000, Loss: 390.8510, Error: 39085.10% 
Minibatch: 41500, Loss: 461.0515, Error: 46105.15% 
Minibatch: 42000, Loss: 451.8653, Error: 45186.53% 
Minibatch: 42500, Loss: 389.0910, Error: 38909.10% 
Minibatch: 43000, Loss: 337.5410, Error: 33754.10% 
Minibatch: 43500, Loss: 428.3958, Error: 42839.58% 
Minibatch: 44000, Loss: 424.3524, Error: 42435.24% 
Minibatch: 44500, Loss: 397.6035, Error: 39760.35% 
Minibatch: 45000, Loss: 399.1633, Error: 39916.33% 
Minibatch: 45500, Loss: 417.9215, Error: 41792.15% 
Minibatch: 46000, Loss: 357.8359, Error: 35783.59% 
Minibatch: 46500, Loss: 387.1130, Error: 38711.30% 
Minibatch: 47000, Loss: 410.4247, Error: 41042.47% 
Minibatch: 47500, Loss: 384.3326, Error: 38433.26% 
Minibatch: 48000, Loss: 429.1088, Error: 42910.88% 
Minibatch: 48500, Loss: 419.8476, Error: 41984.76% 
Minibatch: 49000, Loss: 337.5248, Error: 33752.48% 
Minibatch: 49500, Loss: 449.0295, Error: 44902.95% 
Minibatch: 50000, Loss: 457.7942, Error: 45779.42% 
Minibatch: 50500, Loss: 396.6529, Error: 39665.29% 
Minibatch: 51000, Loss: 430.6595, Error: 43065.95% 
Minibatch: 51500, Loss: 337.8601, Error: 33786.01% 
Minibatch: 52000, Loss: 379.6864, Error: 37968.64% 
Minibatch: 52500, Loss: 407.3044, Error: 40730.44% 
Minibatch: 53000, Loss: 377.3701, Error: 37737.01% 
Minibatch: 53500, Loss: 375.0445, Error: 37504.45% 
Minibatch: 54000, Loss: 414.8597, Error: 41485.97% 
Minibatch: 54500, Loss: 441.8477, Error: 44184.77% 
Minibatch: 55000, Loss: 505.0364, Error: 50503.64% 
Minibatch: 55500, Loss: 393.6008, Error: 39360.08% 
Minibatch: 56000, Loss: 400.1664, Error: 40016.64% 
Minibatch: 56500, Loss: 433.7373, Error: 43373.73% 
Minibatch: 57000, Loss: 396.2353, Error: 39623.53% 
Minibatch: 57500, Loss: 379.7775, Error: 37977.75% 
Minibatch: 58000, Loss: 409.8855, Error: 40988.55% 
Minibatch: 58500, Loss: 437.8536, Error: 43785.36% 
Minibatch: 59000, Loss: 385.3426, Error: 38534.26% 
Minibatch: 59500, Loss: 337.1237, Error: 33712.37% 
Minibatch: 60000, Loss: 372.6013, Error: 37260.13% 
Minibatch: 60500, Loss: 323.5764, Error: 32357.64% 
