hidden_layer_dim = 27
learning_rate = [0.0002]*795184 + [0.00002]*2000000 + [0.00001]*4000000 + [0.000005]*5000000
minibatch_size = 300
num_train_samples_per_sweep = 11795184
num_test_samples = 2948796
Minibatch: 0, Loss: 45230.0067, Error: 4523000.67% 
Minibatch: 500, Loss: 380.2245, Error: 38022.45% 
Minibatch: 1000, Loss: 357.1422, Error: 35714.22% 
Minibatch: 1500, Loss: 365.3045, Error: 36530.45% 
Minibatch: 2000, Loss: 372.2485, Error: 37224.85% 
Minibatch: 2500, Loss: 396.7098, Error: 39670.98% 
Minibatch: 3000, Loss: 434.0753, Error: 43407.53% 
Minibatch: 3500, Loss: 388.4272, Error: 38842.72% 
Minibatch: 4000, Loss: 366.8733, Error: 36687.33% 
Minibatch: 4500, Loss: 382.4289, Error: 38242.89% 
Minibatch: 5000, Loss: 344.0566, Error: 34405.66% 
Minibatch: 5500, Loss: 433.5878, Error: 43358.78% 
Minibatch: 6000, Loss: 311.7309, Error: 31173.09% 
Minibatch: 6500, Loss: 384.9461, Error: 38494.61% 
Minibatch: 7000, Loss: 325.1725, Error: 32517.25% 
Minibatch: 7500, Loss: 458.4936, Error: 45849.36% 
Minibatch: 8000, Loss: 392.2201, Error: 39222.01% 
Minibatch: 8500, Loss: 365.4418, Error: 36544.18% 
Minibatch: 9000, Loss: 363.2067, Error: 36320.67% 
Minibatch: 9500, Loss: 322.7751, Error: 32277.51% 
Minibatch: 10000, Loss: 339.9039, Error: 33990.39% 
Minibatch: 10500, Loss: 421.6134, Error: 42161.34% 
Minibatch: 11000, Loss: 377.9160, Error: 37791.60% 
Minibatch: 11500, Loss: 414.8429, Error: 41484.29% 
Minibatch: 12000, Loss: 378.7536, Error: 37875.36% 
Minibatch: 12500, Loss: 375.1976, Error: 37519.76% 
Minibatch: 13000, Loss: 338.4251, Error: 33842.51% 
Minibatch: 13500, Loss: 386.7927, Error: 38679.27% 
Minibatch: 14000, Loss: 377.0441, Error: 37704.41% 
Minibatch: 14500, Loss: 345.1012, Error: 34510.12% 
Minibatch: 15000, Loss: 334.4744, Error: 33447.44% 
Minibatch: 15500, Loss: 410.5298, Error: 41052.98% 
Minibatch: 16000, Loss: 377.6531, Error: 37765.31% 
Minibatch: 16500, Loss: 413.2585, Error: 41325.85% 
Minibatch: 17000, Loss: 321.5871, Error: 32158.71% 
Minibatch: 17500, Loss: 407.1392, Error: 40713.92% 
Minibatch: 18000, Loss: 321.2625, Error: 32126.25% 
Minibatch: 18500, Loss: 367.8923, Error: 36789.23% 
Minibatch: 19000, Loss: 426.9940, Error: 42699.40% 
Minibatch: 19500, Loss: 315.0841, Error: 31508.41% 
Minibatch: 20000, Loss: 337.2013, Error: 33720.13% 
Minibatch: 20500, Loss: 390.8321, Error: 39083.21% 
Minibatch: 21000, Loss: 407.6965, Error: 40769.65% 
Minibatch: 21500, Loss: 386.6438, Error: 38664.38% 
Minibatch: 22000, Loss: 381.9932, Error: 38199.32% 
Minibatch: 22500, Loss: 336.5263, Error: 33652.63% 
Minibatch: 23000, Loss: 383.5762, Error: 38357.62% 
Minibatch: 23500, Loss: 380.4574, Error: 38045.74% 
Minibatch: 24000, Loss: 470.6513, Error: 47065.13% 
Minibatch: 24500, Loss: 371.1827, Error: 37118.27% 
Minibatch: 25000, Loss: 432.4552, Error: 43245.52% 
Minibatch: 25500, Loss: 436.6460, Error: 43664.60% 
Minibatch: 26000, Loss: 383.6135, Error: 38361.35% 
Minibatch: 26500, Loss: 320.9736, Error: 32097.36% 
Minibatch: 27000, Loss: 359.0526, Error: 35905.26% 
Minibatch: 27500, Loss: 369.1689, Error: 36916.89% 
Minibatch: 28000, Loss: 376.7734, Error: 37677.34% 
Minibatch: 28500, Loss: 391.6360, Error: 39163.60% 
Minibatch: 29000, Loss: 358.5434, Error: 35854.34% 
Minibatch: 29500, Loss: 354.0742, Error: 35407.42% 
Minibatch: 30000, Loss: 397.6081, Error: 39760.81% 
Minibatch: 30500, Loss: 321.7148, Error: 32171.48% 
Minibatch: 31000, Loss: 341.5353, Error: 34153.53% 
Minibatch: 31500, Loss: 396.0655, Error: 39606.55% 
Minibatch: 32000, Loss: 297.8497, Error: 29784.97% 
Minibatch: 32500, Loss: 355.6983, Error: 35569.83% 
Minibatch: 33000, Loss: 321.3092, Error: 32130.92% 
Minibatch: 33500, Loss: 498.5252, Error: 49852.52% 
Minibatch: 34000, Loss: 473.2433, Error: 47324.33% 
Minibatch: 34500, Loss: 361.6653, Error: 36166.53% 
Minibatch: 35000, Loss: 441.2442, Error: 44124.42% 
Minibatch: 35500, Loss: 334.0056, Error: 33400.56% 
Minibatch: 36000, Loss: 383.3960, Error: 38339.60% 
Minibatch: 36500, Loss: 327.3309, Error: 32733.09% 
Minibatch: 37000, Loss: 320.0753, Error: 32007.53% 
Minibatch: 37500, Loss: 428.5633, Error: 42856.33% 
Minibatch: 38000, Loss: 356.7666, Error: 35676.66% 
Minibatch: 38500, Loss: 350.1374, Error: 35013.74% 
Minibatch: 39000, Loss: 370.7407, Error: 37074.07% 
Minibatch: 39500, Loss: 308.2485, Error: 30824.85% 
Minibatch: 40000, Loss: 389.9814, Error: 38998.14% 
Minibatch: 40500, Loss: 349.0051, Error: 34900.51% 
Minibatch: 41000, Loss: 371.0081, Error: 37100.81% 
Minibatch: 41500, Loss: 408.3358, Error: 40833.58% 
Minibatch: 42000, Loss: 402.4286, Error: 40242.86% 
Minibatch: 42500, Loss: 351.0159, Error: 35101.59% 
Minibatch: 43000, Loss: 306.0694, Error: 30606.94% 
Minibatch: 43500, Loss: 361.7428, Error: 36174.28% 
Minibatch: 44000, Loss: 394.8899, Error: 39488.99% 
Minibatch: 44500, Loss: 391.2628, Error: 39126.28% 
Minibatch: 45000, Loss: 357.0021, Error: 35700.21% 
Minibatch: 45500, Loss: 384.6764, Error: 38467.64% 
Minibatch: 46000, Loss: 312.8722, Error: 31287.22% 
Minibatch: 46500, Loss: 346.6392, Error: 34663.92% 
Minibatch: 47000, Loss: 381.9906, Error: 38199.06% 
Minibatch: 47500, Loss: 354.9527, Error: 35495.27% 
Minibatch: 48000, Loss: 402.1284, Error: 40212.84% 
Minibatch: 48500, Loss: 395.3217, Error: 39532.17% 
Minibatch: 49000, Loss: 321.9385, Error: 32193.85% 
Minibatch: 49500, Loss: 427.4493, Error: 42744.93% 
Minibatch: 50000, Loss: 404.5688, Error: 40456.88% 
Minibatch: 50500, Loss: 356.3351, Error: 35633.51% 
Minibatch: 51000, Loss: 386.8291, Error: 38682.91% 
Minibatch: 51500, Loss: 309.2850, Error: 30928.50% 
Minibatch: 52000, Loss: 322.2518, Error: 32225.18% 
Minibatch: 52500, Loss: 378.6511, Error: 37865.11% 
Minibatch: 53000, Loss: 337.0818, Error: 33708.18% 
