hidden_layer_dim = 21
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*734128
minibatch_size = 300
num_train_samples_per_sweep = 11734128
num_test_samples = 2933532
Minibatch: 0, Loss: 44281.8900, Error: 4428189.00% 
Minibatch: 500, Loss: 429.8107, Error: 42981.07% 
Minibatch: 1000, Loss: 519.9485, Error: 51994.85% 
Minibatch: 1500, Loss: 422.6952, Error: 42269.52% 
Minibatch: 2000, Loss: 472.3142, Error: 47231.42% 
Minibatch: 2500, Loss: 445.9823, Error: 44598.23% 
Minibatch: 3000, Loss: 456.8350, Error: 45683.50% 
Minibatch: 3500, Loss: 404.7205, Error: 40472.05% 
Minibatch: 4000, Loss: 433.2440, Error: 43324.40% 
Minibatch: 4500, Loss: 476.6999, Error: 47669.99% 
Minibatch: 5000, Loss: 428.3832, Error: 42838.32% 
Minibatch: 5500, Loss: 444.0277, Error: 44402.77% 
Minibatch: 6000, Loss: 425.1984, Error: 42519.84% 
Minibatch: 6500, Loss: 391.5355, Error: 39153.55% 
Minibatch: 7000, Loss: 413.5188, Error: 41351.88% 
Minibatch: 7500, Loss: 393.1845, Error: 39318.45% 
Minibatch: 8000, Loss: 496.8096, Error: 49680.96% 
Minibatch: 8500, Loss: 406.9092, Error: 40690.92% 
Minibatch: 9000, Loss: 399.9102, Error: 39991.02% 
Minibatch: 9500, Loss: 403.2322, Error: 40323.22% 
Minibatch: 10000, Loss: 433.7131, Error: 43371.31% 
Minibatch: 10500, Loss: 462.6310, Error: 46263.10% 
Minibatch: 11000, Loss: 448.7773, Error: 44877.73% 
Minibatch: 11500, Loss: 429.2535, Error: 42925.35% 
Minibatch: 12000, Loss: 422.7318, Error: 42273.18% 
Minibatch: 12500, Loss: 501.3660, Error: 50136.60% 
Minibatch: 13000, Loss: 454.7576, Error: 45475.76% 
Minibatch: 13500, Loss: 350.9927, Error: 35099.27% 
Minibatch: 14000, Loss: 387.3182, Error: 38731.82% 
Minibatch: 14500, Loss: 388.6932, Error: 38869.32% 
Minibatch: 15000, Loss: 431.6352, Error: 43163.52% 
Minibatch: 15500, Loss: 392.1620, Error: 39216.20% 
Minibatch: 16000, Loss: 397.3212, Error: 39732.12% 
Minibatch: 16500, Loss: 362.2751, Error: 36227.51% 
Minibatch: 17000, Loss: 414.8891, Error: 41488.91% 
Minibatch: 17500, Loss: 395.6789, Error: 39567.89% 
Minibatch: 18000, Loss: 397.2905, Error: 39729.05% 
Minibatch: 18500, Loss: 442.1854, Error: 44218.54% 
Minibatch: 19000, Loss: 430.2667, Error: 43026.67% 
Minibatch: 19500, Loss: 420.1597, Error: 42015.97% 
Minibatch: 20000, Loss: 386.2174, Error: 38621.74% 
