hidden_layer_dim = 15
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*734128
minibatch_size = 300
num_train_samples_per_sweep = 11734128
num_test_samples = 2933532
Minibatch: 0, Loss: 44283.3000, Error: 4428330.00% 
Minibatch: 500, Loss: 418.1149, Error: 41811.49% 
Minibatch: 1000, Loss: 521.6006, Error: 52160.06% 
Minibatch: 1500, Loss: 415.9093, Error: 41590.93% 
Minibatch: 2000, Loss: 474.8650, Error: 47486.50% 
Minibatch: 2500, Loss: 441.8809, Error: 44188.09% 
Minibatch: 3000, Loss: 460.7694, Error: 46076.94% 
Minibatch: 3500, Loss: 422.4982, Error: 42249.82% 
Minibatch: 4000, Loss: 430.4705, Error: 43047.05% 
Minibatch: 4500, Loss: 496.0666, Error: 49606.66% 
Minibatch: 5000, Loss: 427.5410, Error: 42754.10% 
Minibatch: 5500, Loss: 439.7314, Error: 43973.14% 
Minibatch: 6000, Loss: 435.8444, Error: 43584.44% 
Minibatch: 6500, Loss: 421.4450, Error: 42144.50% 
Minibatch: 7000, Loss: 418.3023, Error: 41830.23% 
Minibatch: 7500, Loss: 404.5050, Error: 40450.50% 
Minibatch: 8000, Loss: 514.9966, Error: 51499.66% 
Minibatch: 8500, Loss: 403.5944, Error: 40359.44% 
Minibatch: 9000, Loss: 409.4700, Error: 40947.00% 
Minibatch: 9500, Loss: 390.0584, Error: 39005.84% 
Minibatch: 10000, Loss: 442.1348, Error: 44213.48% 
Minibatch: 10500, Loss: 476.7921, Error: 47679.21% 
Minibatch: 11000, Loss: 444.0509, Error: 44405.09% 
Minibatch: 11500, Loss: 435.2943, Error: 43529.43% 
Minibatch: 12000, Loss: 435.4305, Error: 43543.05% 
Minibatch: 12500, Loss: 512.3346, Error: 51233.46% 
Minibatch: 13000, Loss: 462.0213, Error: 46202.12% 
Minibatch: 13500, Loss: 360.5095, Error: 36050.95% 
Minibatch: 14000, Loss: 389.6751, Error: 38967.51% 
Minibatch: 14500, Loss: 397.5422, Error: 39754.22% 
Minibatch: 15000, Loss: 441.0542, Error: 44105.42% 
Minibatch: 15500, Loss: 405.9929, Error: 40599.29% 
Minibatch: 16000, Loss: 415.8764, Error: 41587.64% 
Minibatch: 16500, Loss: 376.3970, Error: 37639.70% 
Minibatch: 17000, Loss: 404.8792, Error: 40487.92% 
Minibatch: 17500, Loss: 398.0714, Error: 39807.14% 
Minibatch: 18000, Loss: 395.9821, Error: 39598.21% 
Minibatch: 18500, Loss: 445.5549, Error: 44555.49% 
Minibatch: 19000, Loss: 432.5739, Error: 43257.39% 
Minibatch: 19500, Loss: 438.5056, Error: 43850.56% 
Minibatch: 20000, Loss: 383.2352, Error: 38323.52% 
Minibatch: 20500, Loss: 460.2409, Error: 46024.09% 
Minibatch: 21000, Loss: 388.7658, Error: 38876.58% 
Minibatch: 21500, Loss: 424.4269, Error: 42442.69% 
Minibatch: 22000, Loss: 470.8648, Error: 47086.48% 
Minibatch: 22500, Loss: 476.8581, Error: 47685.81% 
Minibatch: 23000, Loss: 359.2956, Error: 35929.56% 
Minibatch: 23500, Loss: 416.9815, Error: 41698.15% 
Minibatch: 24000, Loss: 536.3027, Error: 53630.27% 
Minibatch: 24500, Loss: 419.9769, Error: 41997.69% 
Minibatch: 25000, Loss: 353.1036, Error: 35310.36% 
Minibatch: 25500, Loss: 384.8243, Error: 38482.43% 
Minibatch: 26000, Loss: 432.3103, Error: 43231.03% 
Minibatch: 26500, Loss: 419.4301, Error: 41943.01% 
Minibatch: 27000, Loss: 393.0598, Error: 39305.98% 
Minibatch: 27500, Loss: 440.5006, Error: 44050.06% 
Minibatch: 28000, Loss: 389.5696, Error: 38956.96% 
Minibatch: 28500, Loss: 390.0870, Error: 39008.70% 
Minibatch: 29000, Loss: 436.6871, Error: 43668.71% 
Minibatch: 29500, Loss: 390.9629, Error: 39096.29% 
Minibatch: 30000, Loss: 388.9848, Error: 38898.48% 
Minibatch: 30500, Loss: 444.4141, Error: 44441.41% 
Minibatch: 31000, Loss: 416.0312, Error: 41603.12% 
Minibatch: 31500, Loss: 371.1467, Error: 37114.67% 
Minibatch: 32000, Loss: 388.7486, Error: 38874.86% 
Minibatch: 32500, Loss: 464.7146, Error: 46471.46% 
Minibatch: 33000, Loss: 451.8434, Error: 45184.34% 
Minibatch: 33500, Loss: 445.3198, Error: 44531.98% 
Minibatch: 34000, Loss: 428.7976, Error: 42879.76% 
Minibatch: 34500, Loss: 478.9971, Error: 47899.71% 
Minibatch: 35000, Loss: 376.2054, Error: 37620.54% 
Minibatch: 35500, Loss: 450.9804, Error: 45098.04% 
Minibatch: 36000, Loss: 465.8893, Error: 46588.93% 
Minibatch: 36500, Loss: 399.2434, Error: 39924.34% 
Minibatch: 37000, Loss: 400.1227, Error: 40012.27% 
Minibatch: 37500, Loss: 426.3192, Error: 42631.92% 
Minibatch: 38000, Loss: 473.8842, Error: 47388.42% 
Minibatch: 38500, Loss: 417.5289, Error: 41752.89% 
Minibatch: 39000, Loss: 492.0678, Error: 49206.78% 
Minibatch: 39500, Loss: 465.8456, Error: 46584.56% 
Minibatch: 40000, Loss: 412.8424, Error: 41284.24% 
Minibatch: 40500, Loss: 465.4279, Error: 46542.79% 
Minibatch: 41000, Loss: 402.4848, Error: 40248.48% 
Minibatch: 41500, Loss: 427.0456, Error: 42704.56% 
Minibatch: 42000, Loss: 435.1650, Error: 43516.50% 
Minibatch: 42500, Loss: 409.0297, Error: 40902.97% 
Minibatch: 43000, Loss: 400.3553, Error: 40035.53% 
Minibatch: 43500, Loss: 479.3048, Error: 47930.48% 
Minibatch: 44000, Loss: 429.1011, Error: 42910.11% 
Minibatch: 44500, Loss: 369.4741, Error: 36947.41% 
Minibatch: 45000, Loss: 441.2390, Error: 44123.90% 
Minibatch: 45500, Loss: 455.0809, Error: 45508.09% 
Minibatch: 46000, Loss: 388.0230, Error: 38802.30% 
Minibatch: 46500, Loss: 331.0554, Error: 33105.54% 
Minibatch: 47000, Loss: 344.9866, Error: 34498.66% 
Minibatch: 47500, Loss: 375.0278, Error: 37502.78% 
Minibatch: 48000, Loss: 413.5681, Error: 41356.81% 
Minibatch: 48500, Loss: 460.5888, Error: 46058.88% 
Minibatch: 49000, Loss: 400.3218, Error: 40032.18% 
Minibatch: 49500, Loss: 398.2357, Error: 39823.57% 
Minibatch: 50000, Loss: 417.2298, Error: 41722.98% 
Minibatch: 50500, Loss: 418.3607, Error: 41836.07% 
Minibatch: 51000, Loss: 353.2965, Error: 35329.65% 
Minibatch: 51500, Loss: 383.5294, Error: 38352.94% 
Minibatch: 52000, Loss: 428.2638, Error: 42826.38% 
Minibatch: 52500, Loss: 434.7509, Error: 43475.09% 
Minibatch: 53000, Loss: 440.9310, Error: 44093.10% 
Minibatch: 53500, Loss: 403.0594, Error: 40305.94% 
Minibatch: 54000, Loss: 420.4349, Error: 42043.49% 
Minibatch: 54500, Loss: 417.5578, Error: 41755.78% 
Minibatch: 55000, Loss: 427.3413, Error: 42734.12% 
Minibatch: 55500, Loss: 439.6233, Error: 43962.33% 
Minibatch: 56000, Loss: 362.9839, Error: 36298.39% 
Minibatch: 56500, Loss: 447.7081, Error: 44770.81% 
Minibatch: 57000, Loss: 422.3810, Error: 42238.10% 
Minibatch: 57500, Loss: 432.6138, Error: 43261.38% 
Minibatch: 58000, Loss: 443.2176, Error: 44321.76% 
Minibatch: 58500, Loss: 407.5072, Error: 40750.72% 
Minibatch: 59000, Loss: 394.2849, Error: 39428.49% 
Minibatch: 59500, Loss: 424.0502, Error: 42405.02% 
Minibatch: 60000, Loss: 433.3461, Error: 43334.61% 
Minibatch: 60500, Loss: 345.6686, Error: 34566.86% 
Minibatch: 61000, Loss: 398.6804, Error: 39868.04% 
Minibatch: 61500, Loss: 395.6878, Error: 39568.78% 
Minibatch: 62000, Loss: 442.1234, Error: 44212.34% 
Minibatch: 62500, Loss: 450.4554, Error: 45045.54% 
Minibatch: 63000, Loss: 465.9837, Error: 46598.38% 
Minibatch: 63500, Loss: 419.1080, Error: 41910.80% 
Minibatch: 64000, Loss: 512.2203, Error: 51222.03% 
Minibatch: 64500, Loss: 469.0465, Error: 46904.65% 
Minibatch: 65000, Loss: 418.7339, Error: 41873.39% 
Minibatch: 65500, Loss: 402.2106, Error: 40221.06% 
Minibatch: 66000, Loss: 404.4567, Error: 40445.67% 
Minibatch: 66500, Loss: 433.8760, Error: 43387.60% 
Minibatch: 67000, Loss: 410.7563, Error: 41075.63% 
Minibatch: 67500, Loss: 380.4724, Error: 38047.24% 
Minibatch: 68000, Loss: 338.5500, Error: 33855.00% 
Minibatch: 68500, Loss: 400.0218, Error: 40002.18% 
Minibatch: 69000, Loss: 425.1873, Error: 42518.73% 
Minibatch: 69500, Loss: 407.4062, Error: 40740.62% 
Minibatch: 70000, Loss: 381.0241, Error: 38102.41% 
Minibatch: 70500, Loss: 342.5701, Error: 34257.01% 
Minibatch: 71000, Loss: 443.7593, Error: 44375.93% 
Minibatch: 71500, Loss: 451.0052, Error: 45100.52% 
Minibatch: 72000, Loss: 434.6317, Error: 43463.17% 
Minibatch: 72500, Loss: 372.1704, Error: 37217.04% 
Minibatch: 73000, Loss: 388.4365, Error: 38843.65% 
Minibatch: 73500, Loss: 438.0620, Error: 43806.20% 
Minibatch: 74000, Loss: 410.3720, Error: 41037.20% 
Minibatch: 74500, Loss: 468.7344, Error: 46873.44% 
Minibatch: 75000, Loss: 381.4131, Error: 38141.31% 
Minibatch: 75500, Loss: 457.9861, Error: 45798.61% 
Minibatch: 76000, Loss: 387.4773, Error: 38747.73% 
Minibatch: 76500, Loss: 387.3218, Error: 38732.18% 
Minibatch: 77000, Loss: 446.7905, Error: 44679.05% 
Minibatch: 77500, Loss: 403.4204, Error: 40342.04% 
Minibatch: 78000, Loss: 364.2522, Error: 36425.22% 
Minibatch: 78500, Loss: 360.3916, Error: 36039.16% 
Minibatch: 79000, Loss: 364.5129, Error: 36451.29% 
Minibatch: 79500, Loss: 470.9287, Error: 47092.87% 
Minibatch: 80000, Loss: 421.1245, Error: 42112.45% 
Minibatch: 80500, Loss: 376.0873, Error: 37608.73% 
Minibatch: 81000, Loss: 440.3871, Error: 44038.71% 
Minibatch: 81500, Loss: 423.0956, Error: 42309.56% 
Minibatch: 82000, Loss: 390.7871, Error: 39078.71% 
Minibatch: 82500, Loss: 407.1019, Error: 40710.19% 
Minibatch: 83000, Loss: 451.4829, Error: 45148.29% 
Minibatch: 83500, Loss: 446.6318, Error: 44663.18% 
Minibatch: 84000, Loss: 379.8453, Error: 37984.53% 
Minibatch: 84500, Loss: 389.3493, Error: 38934.93% 
Minibatch: 85000, Loss: 380.4580, Error: 38045.80% 
Minibatch: 85500, Loss: 393.9411, Error: 39394.11% 
Minibatch: 86000, Loss: 414.3538, Error: 41435.38% 
Minibatch: 86500, Loss: 405.0035, Error: 40500.35% 
Minibatch: 87000, Loss: 363.1819, Error: 36318.19% 
Minibatch: 87500, Loss: 377.9271, Error: 37792.71% 
Minibatch: 88000, Loss: 395.0636, Error: 39506.36% 
Minibatch: 88500, Loss: 383.9518, Error: 38395.18% 
Minibatch: 89000, Loss: 447.0936, Error: 44709.36% 
Minibatch: 89500, Loss: 384.8271, Error: 38482.71% 
Minibatch: 90000, Loss: 422.2878, Error: 42228.78% 
Minibatch: 90500, Loss: 340.5223, Error: 34052.23% 
Minibatch: 91000, Loss: 430.2359, Error: 43023.59% 
Minibatch: 91500, Loss: 428.4103, Error: 42841.03% 
Minibatch: 92000, Loss: 427.5031, Error: 42750.31% 
Minibatch: 92500, Loss: 429.1603, Error: 42916.03% 
Minibatch: 93000, Loss: 484.7774, Error: 48477.74% 
Minibatch: 93500, Loss: 360.5129, Error: 36051.29% 
Minibatch: 94000, Loss: 400.9828, Error: 40098.28% 
Minibatch: 94500, Loss: 449.2916, Error: 44929.16% 
Minibatch: 95000, Loss: 430.7111, Error: 43071.11% 
