hidden_layer_dim = 21
learning_rate = [0.0002]*5000000 + [0.00002]*4000000 + [0.00001]*2000000 + [0.000005]*848824
minibatch_size = 300
num_train_samples_per_sweep = 11848824
num_test_samples = 2962206
Minibatch: 0, Loss: 45978.7133, Error: 4597871.33% 
Minibatch: 500, Loss: 503.6363, Error: 50363.63% 
Minibatch: 1000, Loss: 398.6636, Error: 39866.36% 
Minibatch: 1500, Loss: 368.8755, Error: 36887.55% 
Minibatch: 2000, Loss: 445.1068, Error: 44510.68% 
Minibatch: 2500, Loss: 393.5531, Error: 39355.31% 
Minibatch: 3000, Loss: 423.8218, Error: 42382.18% 
Minibatch: 3500, Loss: 324.7129, Error: 32471.29% 
Minibatch: 4000, Loss: 448.8408, Error: 44884.08% 
Minibatch: 4500, Loss: 449.4790, Error: 44947.90% 
Minibatch: 5000, Loss: 451.7367, Error: 45173.67% 
Minibatch: 5500, Loss: 389.9542, Error: 38995.42% 
Minibatch: 6000, Loss: 444.9897, Error: 44498.97% 
Minibatch: 6500, Loss: 374.4738, Error: 37447.38% 
Minibatch: 7000, Loss: 342.2279, Error: 34222.79% 
Minibatch: 7500, Loss: 388.1674, Error: 38816.74% 
Minibatch: 8000, Loss: 420.4710, Error: 42047.10% 
Minibatch: 8500, Loss: 475.5143, Error: 47551.43% 
Minibatch: 9000, Loss: 387.1601, Error: 38716.01% 
Minibatch: 9500, Loss: 404.7179, Error: 40471.79% 
Minibatch: 10000, Loss: 306.9397, Error: 30693.97% 
Minibatch: 10500, Loss: 339.8314, Error: 33983.14% 
Minibatch: 11000, Loss: 341.4129, Error: 34141.29% 
Minibatch: 11500, Loss: 388.2984, Error: 38829.84% 
Minibatch: 12000, Loss: 422.6899, Error: 42268.99% 
Minibatch: 12500, Loss: 436.6766, Error: 43667.66% 
Minibatch: 13000, Loss: 364.6810, Error: 36468.10% 
Minibatch: 13500, Loss: 394.5895, Error: 39458.95% 
Minibatch: 14000, Loss: 444.2559, Error: 44425.59% 
Minibatch: 14500, Loss: 440.0520, Error: 44005.20% 
Minibatch: 15000, Loss: 340.9348, Error: 34093.48% 
Minibatch: 15500, Loss: 416.3647, Error: 41636.47% 
Minibatch: 16000, Loss: 411.9638, Error: 41196.38% 
Minibatch: 16500, Loss: 385.5275, Error: 38552.75% 
Minibatch: 17000, Loss: 416.9296, Error: 41692.96% 
Minibatch: 17500, Loss: 414.7338, Error: 41473.38% 
Minibatch: 18000, Loss: 399.9962, Error: 39999.62% 
Minibatch: 18500, Loss: 377.0477, Error: 37704.77% 
