hidden_layer_dim = 12
learning_rate = [0.0002]*5000000 + [0.00002]*3000000 + [0.000012]*3000000 + [0.00001]*628288
minibatch_size = 100
num_train_samples_per_sweep = 11628288
num_test_samples = 2907072
Minibatch: 0, Loss: 67343.5950, Error: 6734359.50% 
Minibatch: 500, Loss: 847.5702, Error: 84757.02% 
Minibatch: 1000, Loss: 515.2406, Error: 51524.06% 
Minibatch: 1500, Loss: 549.2207, Error: 54922.07% 
Minibatch: 2000, Loss: 487.9812, Error: 48798.12% 
Minibatch: 2500, Loss: 447.6733, Error: 44767.33% 
Minibatch: 3000, Loss: 415.1608, Error: 41516.08% 
Minibatch: 3500, Loss: 382.4071, Error: 38240.71% 
Minibatch: 4000, Loss: 466.6622, Error: 46666.22% 
Minibatch: 4500, Loss: 505.9296, Error: 50592.96% 
Minibatch: 5000, Loss: 451.8853, Error: 45188.53% 
Minibatch: 5500, Loss: 444.9685, Error: 44496.85% 
Minibatch: 6000, Loss: 604.5256, Error: 60452.56% 
Minibatch: 6500, Loss: 507.4110, Error: 50741.10% 
Minibatch: 7000, Loss: 338.0059, Error: 33800.59% 
Minibatch: 7500, Loss: 549.4266, Error: 54942.66% 
Minibatch: 8000, Loss: 334.8051, Error: 33480.51% 
Minibatch: 8500, Loss: 484.8195, Error: 48481.95% 
Minibatch: 9000, Loss: 573.3633, Error: 57336.33% 
Minibatch: 9500, Loss: 538.4959, Error: 53849.59% 
Minibatch: 10000, Loss: 613.4623, Error: 61346.23% 
Minibatch: 10500, Loss: 343.8343, Error: 34383.43% 
Minibatch: 11000, Loss: 656.0365, Error: 65603.65% 
Minibatch: 11500, Loss: 531.7474, Error: 53174.74% 
Minibatch: 12000, Loss: 418.0887, Error: 41808.87% 
Minibatch: 12500, Loss: 341.1165, Error: 34111.65% 
Minibatch: 13000, Loss: 421.2788, Error: 42127.88% 
Minibatch: 13500, Loss: 437.1276, Error: 43712.76% 
Minibatch: 14000, Loss: 656.0205, Error: 65602.05% 
Minibatch: 14500, Loss: 424.8217, Error: 42482.17% 
Minibatch: 15000, Loss: 512.6952, Error: 51269.52% 
Minibatch: 15500, Loss: 912.8252, Error: 91282.52% 
Minibatch: 16000, Loss: 412.5336, Error: 41253.36% 
Minibatch: 16500, Loss: 297.9638, Error: 29796.38% 
Minibatch: 17000, Loss: 397.7229, Error: 39772.29% 
Minibatch: 17500, Loss: 455.8985, Error: 45589.85% 
Minibatch: 18000, Loss: 469.5893, Error: 46958.93% 
Minibatch: 18500, Loss: 563.1752, Error: 56317.52% 
Minibatch: 19000, Loss: 423.7845, Error: 42378.45% 
Minibatch: 19500, Loss: 349.7450, Error: 34974.50% 
Minibatch: 20000, Loss: 399.7473, Error: 39974.73% 
Minibatch: 20500, Loss: 570.6131, Error: 57061.31% 
Minibatch: 21000, Loss: 479.9250, Error: 47992.50% 
Minibatch: 21500, Loss: 388.6674, Error: 38866.74% 
Minibatch: 22000, Loss: 537.1537, Error: 53715.37% 
Minibatch: 22500, Loss: 870.5805, Error: 87058.05% 
Minibatch: 23000, Loss: 371.5286, Error: 37152.86% 
Minibatch: 23500, Loss: 450.5040, Error: 45050.40% 
Minibatch: 24000, Loss: 362.1703, Error: 36217.03% 
Minibatch: 24500, Loss: 351.7620, Error: 35176.20% 
Minibatch: 25000, Loss: 729.2148, Error: 72921.48% 
Minibatch: 25500, Loss: 427.0276, Error: 42702.76% 
Minibatch: 26000, Loss: 464.3321, Error: 46433.21% 
Minibatch: 26500, Loss: 494.4455, Error: 49444.55% 
Minibatch: 27000, Loss: 446.8327, Error: 44683.27% 
Minibatch: 27500, Loss: 409.7762, Error: 40977.62% 
Minibatch: 28000, Loss: 378.1737, Error: 37817.37% 
Minibatch: 28500, Loss: 478.9406, Error: 47894.06% 
Minibatch: 29000, Loss: 405.7587, Error: 40575.87% 
Minibatch: 29500, Loss: 523.4066, Error: 52340.66% 
Minibatch: 30000, Loss: 356.7998, Error: 35679.98% 
Minibatch: 30500, Loss: 409.1750, Error: 40917.50% 
Minibatch: 31000, Loss: 428.1383, Error: 42813.83% 
Minibatch: 31500, Loss: 471.7405, Error: 47174.05% 
Minibatch: 32000, Loss: 386.4158, Error: 38641.58% 
Minibatch: 32500, Loss: 393.5080, Error: 39350.80% 
Minibatch: 33000, Loss: 573.4636, Error: 57346.36% 
Minibatch: 33500, Loss: 571.6932, Error: 57169.32% 
Minibatch: 34000, Loss: 505.3733, Error: 50537.33% 
Minibatch: 34500, Loss: 420.6488, Error: 42064.88% 
Minibatch: 35000, Loss: 491.4539, Error: 49145.39% 
Minibatch: 35500, Loss: 511.4619, Error: 51146.19% 
Minibatch: 36000, Loss: 376.7029, Error: 37670.29% 
Minibatch: 36500, Loss: 405.2788, Error: 40527.88% 
Minibatch: 37000, Loss: 432.8666, Error: 43286.66% 
Minibatch: 37500, Loss: 324.8855, Error: 32488.55% 
Minibatch: 38000, Loss: 361.4624, Error: 36146.24% 
Minibatch: 38500, Loss: 397.8781, Error: 39787.81% 
Minibatch: 39000, Loss: 416.3176, Error: 41631.76% 
Minibatch: 39500, Loss: 498.2515, Error: 49825.15% 
Minibatch: 40000, Loss: 464.3883, Error: 46438.83% 
Minibatch: 40500, Loss: 468.7350, Error: 46873.50% 
Minibatch: 41000, Loss: 468.0263, Error: 46802.63% 
Minibatch: 41500, Loss: 721.4466, Error: 72144.66% 
Minibatch: 42000, Loss: 446.3121, Error: 44631.21% 
Minibatch: 42500, Loss: 306.9404, Error: 30694.04% 
Minibatch: 43000, Loss: 468.2345, Error: 46823.45% 
Minibatch: 43500, Loss: 781.5063, Error: 78150.63% 
Minibatch: 44000, Loss: 560.4208, Error: 56042.08% 
Minibatch: 44500, Loss: 366.1125, Error: 36611.25% 
